Europawahl  13. Juni 2004;;;;;;;;(Stand 21.06.2004 17:00);;;;;;;;;;;;;;;;
Nr.;Name;Wahlbe-;abgegeb.;Wahlbet.;ungültige;;gültige;;SPÖ;;ÖVP;;FPÖ;;GRÜNE;;LINKE;;MARTIN;;erste Eingabe;;letzte Eingabe;
;;rechtigte;Stimmen;in %;Stimmen;in %;Stimmen;in %;Stimmen;Ant. %;Stimmen;Ant. %;Stimmen;Ant. %;Stimmen;Ant. %;Stimmen;Ant. %;Stimmen;Ant. %;Datum;Zeit;Datum;Zeit
41401;Altschwendt                   ;502;263;52,39;7;2,66;256;97,34;61;23,83;135;52,73;16;6,25;19;7,42;1;0,39;24;9,38;13.06.04;12:44:10;13.06.04;12:44:10
41402;Andorf                        ;3.678;1.440;39,15;46;3,19;1.394;96,81;463;33,21;530;38,02;159;11,41;94;6,74;5;0,36;143;10,26;13.06.04;16:07:22;13.06.04;16:07:22
41403;Brunnenthal                   ;1.469;547;37,24;8;1,46;539;98,54;134;24,86;212;39,33;64;11,87;61;11,32;3;0,56;65;12,06;13.06.04;15:17:47;13.06.04;15:17:47
41404;Diersbach                     ;1.235;526;42,59;15;2,85;511;97,15;89;17,42;219;42,86;62;12,13;53;10,37;10;1,96;78;15,26;13.06.04;15:18:22;13.06.04;15:18:22
41405;Dorf an der Pram              ;741;396;53,44;20;5,05;376;94,95;77;20,48;231;61,44;20;5,32;28;7,45;0;0,00;20;5,32;13.06.04;14:09:41;13.06.04;14:09:41
41406;Eggerding                     ;984;321;32,62;10;3,12;311;96,88;61;19,61;187;60,13;20;6,43;16;5,14;6;1,93;21;6,75;13.06.04;14:08:39;13.06.04;14:08:39
41407;Engelhartszell                ;850;456;53,65;16;3,51;440;96,49;98;22,27;208;47,27;34;7,73;40;9,09;2;0,45;58;13,18;13.06.04;14:44:55;13.06.04;14:44:55
41408;Enzenkirchen                  ;1.326;541;40,80;19;3,51;522;96,49;189;36,21;192;36,78;69;13,22;9;1,72;2;0,38;61;11,69;13.06.04;14:47:48;13.06.04;14:47:48
41409;Esternberg                    ;2.086;727;34,85;10;1,38;717;98,62;155;21,62;376;52,44;60;8,37;28;3,91;5;0,70;93;12,97;13.06.04;15:47:09;13.06.04;15:47:09
41410;Freinberg                     ;1.157;475;41,05;7;1,47;468;98,53;142;30,34;230;49,15;29;6,20;24;5,13;0;0,00;43;9,19;13.06.04;14:48:29;13.06.04;14:48:29
41411;Kopfing im Innkreis           ;1.583;588;37,14;19;3,23;569;96,77;119;20,91;265;46,57;77;13,53;27;4,75;5;0,88;76;13,36;13.06.04;15:02:59;13.06.04;15:02:59
41412;Mayrhof                       ;194;112;57,73;7;6,25;105;93,75;8;7,62;80;76,19;6;5,71;5;4,76;0;0,00;6;5,71;13.06.04;12:45:09;13.06.04;12:45:09
41413;Münzkirchen                   ;1.948;848;43,53;30;3,54;818;96,46;153;18,70;457;55,87;69;8,44;66;8,07;1;0,12;72;8,80;13.06.04;14:45:30;13.06.04;14:45:30
41414;Raab                          ;1.756;677;38,55;19;2,81;658;97,19;111;16,87;245;37,23;126;19,15;85;12,92;6;0,91;85;12,92;13.06.04;15:47:42;13.06.04;15:47:42
41415;Rainbach im Innkreis          ;1.139;512;44,95;8;1,56;504;98,44;123;24,40;272;53,97;40;7,94;30;5,95;1;0,20;38;7,54;13.06.04;15:48:13;13.06.04;15:48:13
41416;Riedau                        ;1.502;569;37,88;18;3,16;551;96,84;176;31,94;202;36,66;36;6,53;63;11,43;3;0,54;71;12,89;13.06.04;15:32:53;13.06.04;15:32:53
41417;St.Aegidi                     ;1.255;586;46,69;22;3,75;564;96,25;83;14,72;337;59,75;44;7,80;25;4,43;1;0,18;74;13,12;13.06.04;14:49:01;13.06.04;14:49:01
41418;St.Florian am Inn             ;2.285;975;42,67;17;1,74;958;98,26;333;34,76;348;36,33;71;7,41;71;7,41;4;0,42;131;13,67;13.06.04;15:48:43;13.06.04;15:48:43
41419;St.Marienkirchen bei Schärding;1.405;440;31,32;17;3,86;423;96,14;69;16,31;181;42,79;63;14,89;44;10,40;1;0,24;65;15,37;13.06.04;13:37:29;13.06.04;13:37:29
41420;St.Roman                      ;1.300;461;35,46;17;3,69;444;96,31;46;10,36;295;66,44;41;9,23;21;4,73;1;0,23;40;9,01;13.06.04;14:37:57;13.06.04;14:37:57
41421;St.Willibald                  ;881;366;41,54;11;3,01;355;96,99;82;23,10;176;49,58;30;8,45;14;3,94;1;0,28;52;14,65;13.06.04;14:17:44;13.06.04;14:17:44
41422;Schärding                     ;3.942;1.761;44,67;39;2,21;1.722;97,79;570;33,10;530;30,78;181;10,51;197;11,44;9;0,52;235;13,65;13.06.04;17:09:19;13.06.04;17:09:19
41423;Schardenberg                  ;1.680;733;43,63;38;5,18;695;94,82;124;17,84;391;56,26;60;8,63;42;6,04;1;0,14;77;11,08;13.06.04;17:03:40;13.06.04;17:03:40
41424;Sigharting                    ;595;309;51,93;13;4,21;296;95,79;60;20,27;138;46,62;46;15,54;15;5,07;0;0,00;37;12,50;13.06.04;13:16:49;13.06.04;13:16:49
41425;Suben                         ;900;404;44,89;6;1,49;398;98,51;103;25,88;176;44,22;32;8,04;29;7,29;2;0,50;56;14,07;13.06.04;14:37:18;13.06.04;14:37:18
41426;Taufkirchen an der Pram       ;2.144;917;42,77;36;3,93;881;96,07;264;29,97;338;38,37;98;11,12;72;8,17;2;0,23;107;12,15;13.06.04;16:07:54;13.06.04;16:07:54
41427;Vichtenstein                  ;484;225;46,49;5;2,22;220;97,78;33;15,00;125;56,82;33;15,00;6;2,73;1;0,45;22;10,00;13.06.04;13:47:29;13.06.04;13:47:29
41428;Waldkirchen am Wesen          ;1.022;539;52,74;18;3,34;521;96,66;137;26,30;260;49,90;43;8,25;22;4,22;0;0,00;59;11,32;13.06.04;14:18:04;13.06.04;14:18:04
41429;Wernstein am Inn              ;1.201;587;48,88;28;4,77;559;95,23;165;29,52;247;44,19;35;6,26;33;5,90;2;0,36;77;13,77;13.06.04;13:58:22;13.06.04;13:58:22
41430;Zell an der Pram              ;1.490;592;39,73;10;1,69;582;98,31;98;16,84;328;56,36;32;5,50;69;11,86;4;0,69;51;8,76;13.06.04;14:18:24;13.06.04;14:18:24
41500;Bezirk Steyr-Land                    ;44.440;21.946;49,38;707;3,22;21.239;96,78;7.154;33,68;7.710;36,30;1.157;5,45;2.133;10,04;117;0,55;2.968;13,97;13.06.04;16:28:31;13.06.04;16:41:43
41501;Adlwang                       ;1.203;559;46,47;23;4,11;536;95,89;90;16,79;282;52,61;41;7,65;58;10,82;4;0,75;61;11,38;13.06.04;14:24:09;13.06.04;14:24:09
41502;Aschach an der Steyr          ;1.596;768;48,12;17;2,21;751;97,79;195;25,97;301;40,08;35;4,66;111;14,78;4;0,53;105;13,98;13.06.04;15:01:21;13.06.04;15:01:21
41503;Bad Hall                      ;3.571;1.747;48,92;57;3,26;1.690;96,74;537;31,78;570;33,73;170;10,06;171;10,12;6;0,36;236;13,96;13.06.04;14:37:56;13.06.04;14:37:56
41504;Dietach                       ;1.916;903;47,13;41;4,54;862;95,46;260;30,16;311;36,08;39;4,52;100;11,60;4;0,46;148;17,17;13.06.04;13:48:26;13.06.04;13:48:26
41505;Gaflenz                       ;1.383;677;48,95;28;4,14;649;95,86;203;31,28;276;42,53;26;4,01;58;8,94;3;0,46;83;12,79;13.06.04;13:59:20;13.06.04;13:59:20
41506;Garsten                       ;4.840;2.475;51,14;68;2,75;2.407;97,25;742;30,83;819;34,03;124;5,15;367;15,25;24;1,00;331;13,75;13.06.04;15:08:20;13.06.04;15:08:20
41507;Großraming                    ;2.171;1.231;56,70;46;3,74;1.185;96,26;432;36,46;422;35,61;67;5,65;104;8,78;12;1,01;148;12,49;13.06.04;16:28:31;13.06.04;16:28:31
41508;Laussa                        ;989;501;50,66;17;3,39;484;96,61;127;26,24;205;42,36;49;10,12;43;8,88;3;0,62;57;11,78;13.06.04;15:28:35;13.06.04;16:41:43
41509;Losenstein                    ;1.361;675;49,60;20;2,96;655;97,04;232;35,42;237;36,18;33;5,04;67;10,23;3;0,46;83;12,67;13.06.04;15:02:20;13.06.04;15:02:20
41510;Maria Neustift                ;1.216;596;49,01;21;3,52;575;96,48;87;15,13;358;62,26;20;3,48;43;7,48;2;0,35;65;11,30;13.06.04;16:14:21;13.06.04;16:14:21
41511;Pfarrkirchen bei Bad Hall     ;1.621;720;44,42;27;3,75;693;96,25;201;29,00;245;35,35;46;6,64;81;11,69;3;0,43;117;16,88;13.06.04;14:50:30;13.06.04;14:50:30
41512;Reichraming                   ;1.474;812;55,09;25;3,08;787;96,92;450;57,18;138;17,53;40;5,08;60;7,62;2;0,25;97;12,33;13.06.04;16:07:27;13.06.04;16:07:27
41513;Rohr im Kremstal              ;910;451;49,56;9;2,00;442;98,00;113;25,57;198;44,80;18;4,07;56;12,67;0;0,00;57;12,90;13.06.04;13:50:59;13.06.04;13:50:59
41514;St.Ulrich bei Steyr           ;2.391;1.245;52,07;43;3,45;1.202;96,55;320;26,62;464;38,60;51;4,24;155;12,90;3;0,25;209;17,39;13.06.04;15:18:05;13.06.04;15:18:05
41515;Schiedlberg                   ;954;518;54,30;12;2,32;506;97,68;108;21,34;303;59,88;21;4,15;35;6,92;0;0,00;39;7,71;13.06.04;13:04:37;13.06.04;13:04:37
41516;Sierning                      ;6.752;3.111;46,08;93;2,99;3.018;97,01;1.359;45,03;811;26,87;151;5,00;216;7,16;17;0,56;464;15,37;13.06.04;15:02:53;13.06.04;15:02:53
41517;Ternberg                      ;2.565;1.193;46,51;43;3,60;1.150;96,40;372;32,35;439;38,17;72;6,26;102;8,87;9;0,78;156;13,57;13.06.04;15:54:50;13.06.04;15:54:50
41518;Waldneukirchen                ;1.633;791;48,44;25;3,16;766;96,84;208;27,15;347;45,30;49;6,40;46;6,01;1;0,13;115;15,01;13.06.04;14:05:42;13.06.04;14:05:42
41519;Weyer-Land                    ;1.832;936;51,09;25;2,67;911;97,33;436;47,86;239;26,23;28;3,07;79;8,67;4;0,44;125;13,72;13.06.04;15:23:37;13.06.04;15:23:37
41520;Weyer-Markt                   ;1.805;842;46,65;23;2,73;819;97,27;351;42,86;224;27,35;36;4,40;98;11,97;5;0,61;105;12,82;13.06.04;15:03:38;13.06.04;15:03:38
41521;Wolfern                       ;2.257;1.195;52,95;44;3,68;1.151;96,32;331;28,76;521;45,26;41;3,56;83;7,21;8;0,70;167;14,51;13.06.04;15:24:06;13.06.04;15:24:06
41600;Bezirk Urfahr-Umgebung               ;60.370;30.062;49,80;1.025;3,41;29.037;96,59;8.065;27,77;11.417;39,32;1.364;4,70;4.189;14,43;192;0,66;3.810;13,12;13.06.04;16:20:35;13.06.04;16:20:35
41601;Alberndorf in der Riedmark    ;2.736;1.247;45,58;51;4,09;1.196;95,91;308;25,75;518;43,31;58;4,85;139;11,62;9;0,75;164;13,71;13.06.04;14:15:29;13.06.04;14:15:29
41602;Altenberg bei Linz            ;3.168;1.692;53,41;86;5,08;1.606;94,92;364;22,67;742;46,20;78;4,86;232;14,45;9;0,56;181;11,27;13.06.04;15:08:13;13.06.04;15:08:13
41603;Bad Leonfelden                ;2.977;1.629;54,72;69;4,24;1.560;95,76;309;19,81;764;48,97;66;4,23;182;11,67;7;0,45;232;14,87;13.06.04;15:16:52;13.06.04;15:16:52
41604;Eidenberg                     ;1.380;727;52,68;34;4,68;693;95,32;125;18,04;414;59,74;21;3,03;44;6,35;1;0,14;88;12,70;13.06.04;14:02:51;13.06.04;14:02:51
41605;Engerwitzdorf                 ;5.962;2.734;45,86;109;3,99;2.625;96,01;832;31,70;806;30,70;120;4,57;393;14,97;17;0,65;457;17,41;13.06.04;16:16:41;13.06.04;16:16:41
41606;Feldkirchen an der Donau      ;3.985;2.078;52,15;58;2,79;2.020;97,21;704;34,85;677;33,51;160;7,92;190;9,41;7;0,35;282;13,96;13.06.04;15:19:59;13.06.04;15:19:59
41607;Gallneukirchen                ;4.659;2.220;47,65;77;3,47;2.143;96,53;609;28,42;586;27,34;89;4,15;517;24,13;25;1,17;317;14,79;13.06.04;16:03:41;13.06.04;16:03:41
41608;Goldwörth                     ;663;322;48,57;9;2,80;313;97,20;96;30,67;143;45,69;9;2,88;30;9,58;2;0,64;33;10,54;13.06.04;13:39:46;13.06.04;13:39:46
41609;Gramastetten                  ;3.571;1.813;50,77;46;2,54;1.767;97,46;385;21,79;816;46,18;74;4,19;274;15,51;16;0,91;202;11,43;13.06.04;15:36:14;13.06.04;15:36:14
41610;Haibach im Mühlkreis          ;609;335;55,01;15;4,48;320;95,52;82;25,63;158;49,38;12;3,75;22;6,88;2;0,63;44;13,75;13.06.04;13:53:15;13.06.04;13:53:15
41611;Hellmonsödt                   ;1.616;852;52,72;27;3,17;825;96,83;251;30,42;316;38,30;38;4,61;122;14,79;4;0,48;94;11,39;13.06.04;13:40:09;13.06.04;13:40:09
41612;Herzogsdorf                   ;1.797;858;47,75;24;2,80;834;97,20;185;22,18;434;52,04;37;4,44;56;6,71;8;0,96;114;13,67;13.06.04;14:01:29;13.06.04;14:01:29
41613;Kirchschlag bei Linz          ;1.493;773;51,77;20;2,59;753;97,41;174;23,11;322;42,76;42;5,58;125;16,60;5;0,66;85;11,29;13.06.04;16:18:55;13.06.04;16:18:55
41614;Lichtenberg                   ;1.881;987;52,47;24;2,43;963;97,57;244;25,34;391;40,60;46;4,78;179;18,59;3;0,31;100;10,38;13.06.04;15:48:00;13.06.04;15:48:00
41615;Oberneukirchen                ;2.361;1.119;47,40;35;3,13;1.084;96,87;266;24,54;501;46,22;49;4,52;145;13,38;4;0,37;119;10,98;13.06.04;15:06:28;13.06.04;15:06:28
41616;Ottenschlag im Mühlkreis      ;374;189;50,53;7;3,70;182;96,30;66;36,26;82;45,05;5;2,75;8;4,40;0;0,00;21;11,54;13.06.04;13:44:58;13.06.04;13:44:58
41617;Ottensheim                    ;3.325;1.594;47,94;33;2,07;1.561;97,93;410;26,27;498;31,90;93;5,96;378;24,22;19;1,22;163;10,44;13.06.04;15:21:35;13.06.04;15:21:35
41618;Puchenau                      ;3.703;1.809;48,85;44;2,43;1.765;97,57;499;28,27;534;30,25;106;6,01;368;20,85;16;0,91;242;13,71;13.06.04;16:01:13;13.06.04;16:01:13
41619;Reichenau im Mühlkreis        ;853;438;51,35;16;3,65;422;96,35;122;28,91;185;43,84;18;4,27;40;9,48;1;0,24;56;13,27;13.06.04;14:05:00;13.06.04;14:05:00
41620;Reichenthal                   ;1.052;535;50,86;22;4,11;513;95,89;141;27,49;280;54,58;15;2,92;29;5,65;3;0,58;45;8,77;13.06.04;14:08:47;13.06.04;14:08:47
41621;St.Gotthard im Mühlkreis      ;1.017;542;53,29;15;2,77;527;97,23;158;29,98;217;41,18;20;3,80;62;11,76;4;0,76;66;12,52;13.06.04;15:37:54;13.06.04;15:37:54
41622;Schenkenfelden                ;1.146;564;49,21;22;3,90;542;96,10;132;24,35;262;48,34;27;4,98;49;9,04;1;0,18;71;13,10;13.06.04;14:06:46;13.06.04;14:06:46
41623;Sonnberg im Mühlkreis         ;587;298;50,77;12;4,03;286;95,97;68;23,78;155;54,20;5;1,75;25;8,74;1;0,35;32;11,19;13.06.04;13:49:22;13.06.04;13:49:22
41624;Steyregg                      ;3.723;1.692;45,45;56;3,31;1.636;96,69;695;42,48;373;22,80;70;4,28;237;14,49;8;0,49;253;15,46;13.06.04;16:20:35;13.06.04;16:20:35
41625;Vorderweißenbach              ;1.529;867;56,70;34;3,92;833;96,08;143;17,17;486;58,34;40;4,80;53;6,36;6;0,72;105;12,61;13.06.04;14:58:18;13.06.04;14:58:18
41626;Walding                       ;2.873;1.481;51,55;53;3,58;1.428;96,42;560;39,22;453;31,72;41;2,87;198;13,87;8;0,56;168;11,76;13.06.04;15:49:46;13.06.04;15:49:46
41627;Zwettl an der Rodl            ;1.330;667;50,15;27;4,05;640;95,95;137;21,41;304;47,50;25;3,91;92;14,38;6;0,94;76;11,88;13.06.04;14:16:33;13.06.04;14:16:33
41700;Bezirk Vöcklabruck                   ;94.535;41.249;43,63;1.447;3,51;39.802;96,49;12.743;32,02;13.845;34,78;2.526;6,35;4.475;11,24;247;0,62;5.966;14,99;13.06.04;17:42:35;13.06.04;17:42:35
41701;Ampflwang im Hausruckwald     ;2.799;1.342;47,95;40;2,98;1.302;97,02;748;57,45;233;17,90;51;3,92;73;5,61;7;0,54;190;14,59;13.06.04;15:58:47;13.06.04;15:58:47
41702;Attersee                      ;1.184;635;53,63;10;1,57;625;98,43;145;23,20;260;41,60;52;8,32;89;14,24;5;0,80;74;11,84;13.06.04;16:54:25;13.06.04;16:54:25
41703;Attnang-Puchheim              ;6.241;2.416;38,71;71;2,94;2.345;97,06;998;42,56;503;21,45;147;6,27;286;12,20;33;1,41;378;16,12;13.06.04;14:43:43;13.06.04;14:43:43
41704;Atzbach                       ;865;384;44,39;15;3,91;369;96,09;53;14,36;216;58,54;16;4,34;35;9,49;4;1,08;45;12,20;13.06.04;14:43:22;13.06.04;14:43:22
41705;Aurach am Hongar              ;1.123;514;45,77;26;5,06;488;94,94;215;44,06;162;33,20;22;4,51;23;4,71;1;0,20;65;13,32;13.06.04;15:47:02;13.06.04;15:47:02
41706;Berg im Attergau              ;738;334;45,26;12;3,59;322;96,41;45;13,98;197;61,18;19;5,90;15;4,66;3;0,93;43;13,35;13.06.04;13:11:16;13.06.04;13:11:16
41707;Desselbrunn                   ;1.192;569;47,73;32;5,62;537;94,38;169;31,47;218;40,60;15;2,79;49;9,12;1;0,19;85;15,83;13.06.04;15:59:05;13.06.04;17:39:29
41708;Fornach                       ;645;309;47,91;18;5,83;291;94,17;43;14,78;165;56,70;22;7,56;23;7,90;3;1,03;35;12,03;13.06.04;13:34:14;13.06.04;13:34:14
41709;Frankenburg am Hausruck       ;3.788;1.645;43,43;86;5,23;1.559;94,77;641;41,12;457;29,31;96;6,16;116;7,44;9;0,58;240;15,39;13.06.04;16:29:10;13.06.04;16:29:10
41710;Frankenmarkt                  ;2.560;1.116;43,59;53;4,75;1.063;95,25;319;30,01;426;40,08;57;5,36;94;8,84;5;0,47;162;15,24;13.06.04;16:29:24;13.06.04;16:29:24
41711;Gampern                       ;1.898;725;38,20;23;3,17;702;96,83;206;29,34;276;39,32;39;5,56;100;14,25;6;0,85;75;10,68;13.06.04;16:02:23;13.06.04;16:02:23
41712;Innerschwand                  ;771;347;45,01;14;4,03;333;95,97;30;9,01;213;63,96;13;3,90;42;12,61;1;0,30;34;10,21;13.06.04;14:18:10;13.06.04;14:18:10
41713;Lenzing                       ;3.918;1.676;42,78;42;2,51;1.634;97,49;966;59,12;158;9,67;93;5,69;132;8,08;8;0,49;277;16,95;13.06.04;15:47:24;13.06.04;15:47:24
41714;Manning                       ;630;352;55,87;14;3,98;338;96,02;78;23,08;165;48,82;18;5,33;32;9,47;0;0,00;45;13,31;13.06.04;14:13:25;13.06.04;14:13:25
41715;Mondsee                       ;2.271;993;43,73;22;2,22;971;97,78;164;16,89;414;42,64;83;8,55;151;15,55;8;0,82;151;15,55;13.06.04;15:47:42;13.06.04;15:47:42
41716;Neukirchen an der Vöckla      ;1.914;786;41,07;23;2,93;763;97,07;216;28,31;284;37,22;61;7,99;82;10,75;4;0,52;116;15,20;13.06.04;15:39:53;13.06.04;15:39:53
41717;Niederthalheim                ;772;372;48,19;12;3,23;360;96,77;73;20,28;169;46,94;41;11,39;33;9,17;1;0,28;43;11,94;13.06.04;13:11:53;13.06.04;13:11:53
41718;Nußdorf am Attersee           ;786;468;59,54;7;1,50;461;98,50;66;14,32;212;45,99;61;13,23;62;13,45;2;0,43;58;12,58;13.06.04;13:12:15;13.06.04;13:12:15
41719;Oberhofen am Irrsee           ;1.004;481;47,91;20;4,16;461;95,84;127;27,55;211;45,77;22;4,77;43;9,33;3;0,65;55;11,93;13.06.04;15:59:28;13.06.04;15:59:28
41720;Oberndorf bei Schwanenstadt   ;1.071;483;45,10;13;2,69;470;97,31;148;31,49;138;29,36;39;8,30;65;13,83;3;0,64;77;16,38;13.06.04;15:15:37;13.06.04;15:15:37
41721;Oberwang                      ;1.141;483;42,33;33;6,83;450;93,17;37;8,22;328;72,89;24;5,33;14;3,11;0;0,00;47;10,44;13.06.04;13:48:09;13.06.04;13:48:09
41722;Ottnang am Hausruck           ;2.879;1.164;40,43;40;3,44;1.124;96,56;435;38,70;351;31,23;63;5,60;88;7,83;6;0,53;181;16,10;13.06.04;14:44:15;13.06.04;14:44:15
41723;Pfaffing                      ;1.036;420;40,54;22;5,24;398;94,76;156;39,20;136;34,17;9;2,26;35;8,79;1;0,25;61;15,33;13.06.04;15:48:05;13.06.04;15:48:05
41724;Pilsbach                      ;450;278;61,78;6;2,16;272;97,84;83;30,51;116;42,65;12;4,41;31;11,40;0;0,00;30;11,03;13.06.04;15:04:55;13.06.04;15:04:55
41725;Pitzenberg                    ;383;153;39,95;9;5,88;144;94,12;40;27,78;61;42,36;15;10,42;11;7,64;0;0,00;17;11,81;13.06.04;13:12:40;13.06.04;13:12:40
41726;Pöndorf                       ;1.706;626;36,69;28;4,47;598;95,53;201;33,61;256;42,81;28;4,68;27;4,52;4;0,67;82;13,71;13.06.04;15:05:19;13.06.04;15:05:19
41727;Puchkirchen am Trattberg      ;687;354;51,53;19;5,37;335;94,63;81;24,18;152;45,37;4;1,19;53;15,82;1;0,30;44;13,13;13.06.04;15:59:41;13.06.04;16:14:58
41728;Pühret                        ;444;212;47,75;11;5,19;201;94,81;42;20,90;102;50,75;7;3,48;15;7,46;1;0,50;34;16,92;13.06.04;13:13:05;13.06.04;13:13:05
41729;Redleiten                     ;338;131;38,76;6;4,58;125;95,42;30;24,00;50;40,00;7;5,60;6;4,80;1;0,80;31;24,80;13.06.04;13:13:30;13.06.04;13:13:30
41730;Redlham                       ;993;479;48,24;16;3,34;463;96,66;161;34,77;153;33,05;18;3,89;51;11,02;3;0,65;77;16,63;13.06.04;14:07:35;13.06.04;14:07:35
41731;Regau                         ;4.248;1.580;37,19;59;3,73;1.521;96,27;480;31,56;403;26,50;108;7,10;191;12,56;7;0,46;332;21,83;13.06.04;16:48:23;13.06.04;16:48:23
41732;Rüstorf                       ;1.465;575;39,25;27;4,70;548;95,30;193;35,22;179;32,66;45;8,21;57;10,40;0;0,00;74;13,50;13.06.04;15:40:10;13.06.04;15:40:10
41733;Rutzenham                     ;184;106;57,61;3;2,83;103;97,17;4;3,88;45;43,69;6;5,83;25;24,27;2;1,94;21;20,39;13.06.04;13:13:53;13.06.04;13:13:53
41734;St.Georgen im Attergau        ;2.775;1.052;37,91;25;2,38;1.027;97,62;237;23,08;389;37,88;108;10,52;118;11,49;3;0,29;172;16,75;13.06.04;16:29:40;13.06.04;16:29:40
41735;St.Lorenz                     ;1.490;639;42,89;18;2,82;621;97,18;116;18,68;300;48,31;34;5,48;83;13,37;1;0,16;87;14,01;13.06.04;14:25:24;13.06.04;14:25:24
41736;Schlatt                       ;959;432;45,05;20;4,63;412;95,37;119;28,88;168;40,78;31;7,52;37;8,98;0;0,00;57;13,83;13.06.04;13:27:59;13.06.04;13:27:59
41737;Schörfling am Attersee        ;2.436;1.010;41,46;19;1,88;991;98,12;307;30,98;270;27,25;96;9,69;137;13,82;9;0,91;172;17,36;13.06.04;16:48:40;13.06.04;16:48:40
41738;Schwanenstadt                 ;2.932;1.297;44,24;45;3,47;1.252;96,53;413;32,99;363;28,99;115;9,19;171;13,66;10;0,80;180;14,38;13.06.04;17:04:04;13.06.04;17:04:04
41739;Seewalchen am Attersee        ;3.755;1.593;42,42;58;3,64;1.535;96,36;491;31,99;440;28,66;117;7,62;225;14,66;9;0,59;253;16,48;13.06.04;17:42:35;13.06.04;17:42:35
41740;Steinbach am Attersee         ;677;537;79,32;12;2,23;525;97,77;132;25,14;218;41,52;34;6,48;62;11,81;23;4,38;56;10,67;13.06.04;15:15:56;13.06.04;15:15:56
41741;Straß im Attergau             ;1.078;442;41,00;30;6,79;412;93,21;61;14,81;217;52,67;55;13,35;26;6,31;1;0,24;52;12,62;13.06.04;14:44:43;13.06.04;14:44:43
41742;Tiefgraben                    ;2.328;895;38,45;43;4,80;852;95,20;134;15,73;446;52,35;64;7,51;99;11,62;3;0,35;106;12,44;13.06.04;14:13:57;13.06.04;14:13:57
41743;Timelkam                      ;4.328;1.785;41,24;72;4,03;1.713;95,97;764;44,60;375;21,89;65;3,79;195;11,38;7;0,41;307;17,92;13.06.04;16:38:48;13.06.04;16:38:48
41744;Ungenach                      ;996;476;47,79;18;3,78;458;96,22;71;15,50;259;56,55;20;4,37;46;10,04;3;0,66;59;12,88;13.06.04;16:00:00;13.06.04;16:00:00
41745;Unterach am Attersee          ;1.089;580;53,26;16;2,76;564;97,24;166;29,43;222;39,36;31;5,50;71;12,59;3;0,53;71;12,59;13.06.04;15:40:24;13.06.04;15:40:24
41746;Vöcklabruck                   ;8.806;4.096;46,51;131;3,20;3.965;96,80;1.274;32,13;1.165;29,38;249;6,28;653;16,47;27;0,68;597;15,06;13.06.04;16:33:54;13.06.04;16:33:54
41747;Vöcklamarkt                   ;3.395;1.365;40,21;36;2,64;1.329;97,36;380;28,59;521;39,20;80;6,02;135;10,16;4;0,30;209;15,73;13.06.04;16:09:50;13.06.04;16:09:50
41748;Weißenkirchen im Attergau     ;729;286;39,23;18;6,29;268;93,71;31;11,57;173;64,55;11;4,10;23;8,58;0;0,00;30;11,19;13.06.04;14:18:25;13.06.04;14:18:25
41749;Weyregg am Attersee           ;1.176;656;55,78;12;1,83;644;98,17;178;27,64;260;40,37;39;6,06;83;12,89;4;0,62;80;12,42;13.06.04;15:16:14;13.06.04;15:16:14
41750;Wolfsegg am Hausruck          ;1.528;705;46,14;14;1,99;691;98,01;294;42,55;220;31,84;27;3,91;63;9,12;5;0,72;82;11,87;13.06.04;13:18:02;13.06.04;13:18:02
41751;Zell am Moos                  ;1.053;505;47,96;14;2,77;491;97,23;72;14,66;271;55,19;20;4,07;59;12,02;1;0,20;68;13,85;13.06.04;13:53:01;13.06.04;13:53:01
41752;Zell am Pettenfirst           ;881;390;44,27;14;3,59;376;96,41;110;29,26;159;42,29;17;4,52;40;10,64;1;0,27;49;13,03;13.06.04;15:41:06;13.06.04;15:41:06
41800;Bezirk Wels-Land                     ;47.294;22.371;47,30;710;3,17;21.661;96,83;7.414;34,23;7.305;33,72;1.584;7,31;2.179;10,06;89;0,41;3.090;14,27;13.06.04;16:53:57;13.06.04;16:53:57
41801;Aichkirchen                   ;383;241;62,92;11;4,56;230;95,44;23;10,00;133;57,83;33;14,35;14;6,09;1;0,43;26;11,30;13.06.04;12:16:04;13.06.04;12:16:04
41802;Bachmanning                   ;457;241;52,74;6;2,49;235;97,51;69;29,36;75;31,91;36;15,32;31;13,19;1;0,43;23;9,79;13.06.04;12:17:21;13.06.04;12:17:21
41803;Bad Wimsbach-Neydharting      ;1.794;964;53,73;26;2,70;938;97,30;309;32,94;386;41,15;49;5,22;69;7,36;1;0,11;124;13,22;13.06.04;14:12:11;13.06.04;14:12:11
41804;Buchkirchen                   ;2.773;1.336;48,18;36;2,69;1.300;97,31;549;42,23;370;28,46;77;5,92;128;9,85;4;0,31;172;13,23;13.06.04;16:07:28;13.06.04;16:07:28
41805;Eberstalzell                  ;1.622;720;44,39;30;4,17;690;95,83;98;14,20;378;54,78;63;9,13;71;10,29;3;0,43;77;11,16;13.06.04;14:12:41;13.06.04;14:12:41
41806;Edt bei Lambach               ;1.518;745;49,08;27;3,62;718;96,38;221;30,78;258;35,93;56;7,80;74;10,31;3;0,42;106;14,76;13.06.04;13:45:14;13.06.04;13:45:14
