Europawahl  13. Juni 2004;;;;;;;;(Stand 21.06.2004 17:00);;;;;;;;;;;;;;;;
Nr.;Name;Wahlbe-;abgegeb.;Wahlbet.;ungültige;;gültige;;SPÖ;;ÖVP;;FPÖ;;GRÜNE;;LINKE;;MARTIN;;erste Eingabe;;letzte Eingabe;
;;rechtigte;Stimmen;in %;Stimmen;in %;Stimmen;in %;Stimmen;Ant. %;Stimmen;Ant. %;Stimmen;Ant. %;Stimmen;Ant. %;Stimmen;Ant. %;Stimmen;Ant. %;Datum;Zeit;Datum;Zeit
40806;Gaspoltshofen                 ;2.715;1.189;43,79;49;4,12;1.140;95,88;293;25,70;420;36,84;165;14,47;146;12,81;5;0,44;111;9,74;13.06.04;13:18:13;13.06.04;13:18:13
40807;Geboltskirchen                ;1.034;518;50,10;33;6,37;485;93,63;163;33,61;194;40,00;21;4,33;58;11,96;2;0,41;47;9,69;13.06.04;14:48:05;13.06.04;14:48:05
40808;Grieskirchen                  ;3.475;1.728;49,73;59;3,41;1.669;96,59;451;27,02;636;38,11;158;9,47;217;13,00;9;0,54;198;11,86;13.06.04;16:33:05;13.06.04;16:33:05
40809;Haag am Hausruck              ;1.573;717;45,58;23;3,21;694;96,79;212;30,55;270;38,90;50;7,20;66;9,51;1;0,14;95;13,69;13.06.04;12:53:09;13.06.04;12:53:09
40810;Heiligenberg                  ;519;287;55,30;15;5,23;272;94,77;12;4,41;192;70,59;24;8,82;14;5,15;0;0,00;30;11,03;13.06.04;12:43:04;13.06.04;12:43:04
40811;Hofkirchen an der Trattnach   ;1.069;537;50,23;15;2,79;522;97,21;128;24,52;222;42,53;59;11,30;35;6,70;2;0,38;76;14,56;13.06.04;14:48:21;13.06.04;14:48:21
40812;Kallham                       ;1.953;875;44,80;31;3,54;844;96,46;234;27,73;364;43,13;64;7,58;58;6,87;2;0,24;122;14,45;13.06.04;14:33:03;13.06.04;14:33:03
40813;Kematen am Innbach            ;945;427;45,19;18;4,22;409;95,78;91;22,25;150;36,67;65;15,89;28;6,85;1;0,24;74;18,09;13.06.04;14:52:16;13.06.04;14:52:16
40814;Meggenhofen                   ;931;427;45,86;17;3,98;410;96,02;53;12,93;268;65,37;34;8,29;30;7,32;0;0,00;25;6,10;13.06.04;13:12:42;13.06.04;13:12:42
40815;Michaelnbach                  ;982;389;39,61;22;5,66;367;94,34;58;15,80;205;55,86;21;5,72;29;7,90;3;0,82;51;13,90;13.06.04;13:27:57;13.06.04;13:27:57
40816;Natternbach                   ;1.803;835;46,31;35;4,19;800;95,81;260;32,50;321;40,13;43;5,38;58;7,25;8;1,00;110;13,75;13.06.04;14:29:12;13.06.04;14:29:12
40817;Neukirchen am Walde           ;1.258;586;46,58;21;3,58;565;96,42;117;20,71;290;51,33;40;7,08;45;7,96;2;0,35;71;12,57;13.06.04;15:17:48;13.06.04;15:17:48
40818;Neumarkt im Hausruckkreis     ;1.074;509;47,39;13;2,55;496;97,45;178;35,89;161;32,46;46;9,27;39;7,86;1;0,20;71;14,31;13.06.04;16:18:49;13.06.04;16:18:49
40819;Peuerbach                     ;1.671;634;37,94;18;2,84;616;97,16;141;22,89;269;43,67;75;12,18;56;9,09;1;0,16;74;12,01;13.06.04;14:43:40;13.06.04;14:43:40
40820;Pötting                       ;415;246;59,28;15;6,10;231;93,90;40;17,32;156;67,53;8;3,46;5;2,16;1;0,43;21;9,09;13.06.04;13:10:32;13.06.04;13:10:32
40821;Pollham                       ;675;276;40,89;16;5,80;260;94,20;37;14,23;146;56,15;24;9,23;36;13,85;1;0,38;16;6,15;13.06.04;12:51:26;13.06.04;12:51:26
40822;Pram                          ;1.336;566;42,37;19;3,36;547;96,64;113;20,66;229;41,86;87;15,90;69;12,61;4;0,73;45;8,23;13.06.04;12:53:15;13.06.04;12:53:15
40823;Rottenbach                    ;802;405;50,50;11;2,72;394;97,28;90;22,84;171;43,40;55;13,96;33;8,38;3;0,76;42;10,66;13.06.04;13:52:49;13.06.04;13:52:49
40824;St.Agatha                     ;1.649;659;39,96;19;2,88;640;97,12;114;17,81;378;59,06;18;2,81;40;6,25;3;0,47;87;13,59;13.06.04;13:12:57;13.06.04;13:12:57
40825;St.Georgen bei Grieskirchen   ;815;378;46,38;11;2,91;367;97,09;87;23,71;139;37,87;29;7,90;39;10,63;1;0,27;72;19,62;13.06.04;13:28:17;13.06.04;13:28:17
40826;St.Thomas                     ;325;167;51,38;8;4,79;159;95,21;32;20,13;83;52,20;6;3,77;9;5,66;0;0,00;29;18,24;13.06.04;12:17:47;13.06.04;12:17:47
40827;Schlüßlberg                   ;2.269;992;43,72;28;2,82;964;97,18;448;46,47;265;27,49;52;5,39;70;7,26;0;0,00;129;13,38;13.06.04;12:51:34;13.06.04;12:51:34
40828;Steegen                       ;847;365;43,09;19;5,21;346;94,79;70;20,23;196;56,65;20;5,78;28;8,09;0;0,00;32;9,25;13.06.04;14:33:10;13.06.04;14:33:10
40829;Taufkirchen an der Trattnach  ;1.543;596;38,63;28;4,70;568;95,30;136;23,94;254;44,72;71;12,50;45;7,92;3;0,53;59;10,39;13.06.04;14:44:00;13.06.04;14:44:00
40830;Tollet                        ;638;341;53,45;8;2,35;333;97,65;95;28,53;144;43,24;15;4,50;42;12,61;0;0,00;37;11,11;13.06.04;14:00:13;13.06.04;14:00:13
40831;Waizenkirchen                 ;2.824;1.261;44,65;51;4,04;1.210;95,96;251;20,74;643;53,14;57;4,71;133;10,99;6;0,50;120;9,92;13.06.04;14:38:03;13.06.04;14:38:03
40832;Wallern an der Trattnach      ;2.253;1.117;49,58;41;3,67;1.076;96,33;404;37,55;334;31,04;95;8,83;114;10,59;0;0,00;129;11,99;13.06.04;16:28:14;13.06.04;16:28:14
40833;Weibern                       ;1.153;458;39,72;15;3,28;443;96,72;87;19,64;210;47,40;34;7,67;59;13,32;3;0,68;50;11,29;13.06.04;14:07:21;13.06.04;14:07:21
