 Europaparlamentswahl  1999 - Stimmen;;;;;;;;;;;;;;;;;;;;;;;;;;
Nr.;Name;Wahlbe-;abgegeb.;Wahlbet.;ungültige;;gültige;;ÖVP;;SPÖ;;FPÖ;;GRÜNE;;LIF;;CSA;;KPÖ;;erste Eingabe;;letzte Eingabe;
;;rechtigte;Stimmen;in %;Stimmen;in %;Stimmen;in %;Stimmen;Ant. %;Stimmen;Ant. %;Stimmen;Ant. %;Stimmen;Ant. %;Stimmen;Ant. %;Stimmen;Ant. %;Stimmen;Ant. %;Datum;Zeit;Datum;Zeit
41734;St.Georgen im Attergau        ;2 569;1 425;55,47;33;2,32;1 392;97,68;457;32,83;347;24,93;430;30,89;99;7,11;25;1,80;26;1,87;8;0,57;13.06.1999;22:42:22;13.06.1999;22:42:22
41735;St.Lorenz                     ;1 371;696;50,77;17;2,44;679;97,56;315;46,39;113;16,64;142;20,91;74;10,90;18;2,65;15;2,21;2;0,29;13.06.1999;23:13:44;13.06.1999;23:13:44
41736;Schlatt                       ;912;545;59,76;25;4,59;520;95,41;198;38,08;138;26,54;135;25,96;33;6,35;8;1,54;5;0,96;3;0,58;13.06.1999;23:12:44;13.06.1999;23:12:44
41737;Schörfling am Attersee        ;2 379;1 184;49,77;25;2,11;1 159;97,89;281;24,25;388;33,48;347;29,94;104;8,97;22;1,90;10;0,86;7;0,60;13.06.1999;23:19:59;13.06.1999;23:19:59
41738;Schwanenstadt                 ;2 884;1 562;54,16;36;2,30;1 526;97,70;448;29,36;406;26,61;437;28,64;187;12,25;28;1,83;15;0,98;5;0,33;13.06.1999;23:17:16;13.06.1999;23:17:16
41739;Seewalchen am Attersee        ;3 540;1 946;54,97;97;4,98;1 849;95,02;461;24,93;507;27,42;613;33,15;172;9,30;60;3,24;23;1,24;13;0,70;13.06.1999;23:01:48;13.06.1999;23:01:48
41740;Steinbach am Attersee         ;638;444;69,59;13;2,93;431;97,07;181;42,00;82;19,03;120;27,84;30;6,96;13;3,02;2;0,46;3;0,70;13.06.1999;23:37:10;13.06.1999;23:37:10
41741;Straß im Attergau             ;1 000;558;55,80;30;5,38;528;94,62;255;48,30;98;18,56;140;26,52;27;5,11;1;0,19;4;0,76;3;0,57;13.06.1999;23:33:49;13.06.1999;23:33:49
41742;Tiefgraben                    ;2 020;1 026;50,79;46;4,48;980;95,52;484;49,39;166;16,94;222;22,65;66;6,73;22;2,24;12;1,22;8;0,82;13.06.1999;23:30:33;13.06.1999;23:30:33
41743;Timelkam                      ;4 264;2 184;51,22;111;5,08;2 073;94,92;433;20,89;811;39,12;534;25,76;224;10,81;34;1,64;28;1,35;9;0,43;13.06.1999;23:14:14;13.06.1999;23:14:14
41744;Ungenach                      ;968;572;59,09;24;4,20;548;95,80;262;47,81;85;15,51;118;21,53;60;10,95;9;1,64;12;2,19;2;0,36;13.06.1999;22:45:00;13.06.1999;22:45:00
41745;Unterach am Attersee          ;1 057;614;58,09;12;1,95;602;98,05;200;33,22;175;29,07;134;22,26;58;9,63;18;2,99;13;2,16;4;0,66;13.06.1999;22:42:55;13.06.1999;22:42:55
41746;Vöcklabruck                   ;8 535;4 553;53,35;141;3,10;4 412;96,90;1 295;29,35;1 322;29,96;1 016;23,03;518;11,74;149;3,38;88;1,99;24;0,54;13.06.1999;22:23:31;13.06.1999;22:23:31
41747;Vöcklamarkt                   ;3 282;1 793;54,63;99;5,52;1 694;94,48;596;35,18;452;26,68;426;25,15;155;9,15;26;1,53;26;1,53;13;0,77;13.06.1999;22:51:25;13.06.1999;22:51:25
41748;Weißenkirchen im Attergau     ;710;398;56,06;27;6,78;371;93,22;199;53,64;55;14,82;88;23,72;24;6,47;0;0,00;5;1,35;0;0,00;13.06.1999;22:46:47;13.06.1999;22:49:54
41749;Weyregg am Attersee           ;1 151;687;59,69;30;4,37;657;95,63;227;34,55;157;23,90;172;26,18;73;11,11;18;2,74;9;1,37;1;0,15;13.06.1999;22:53:18;13.06.1999;22:53:18
41750;Wolfsegg am Hausruck          ;1 495;913;61,07;33;3,61;880;96,39;249;28,30;336;38,18;192;21,82;73;8,30;14;1,59;3;0,34;13;1,48;13.06.1999;23:15:58;13.06.1999;23:15:58
41751;Zell am Moos                  ;935;475;50,80;19;4,00;456;96,00;226;49,56;76;16,67;96;21,05;42;9,21;8;1,75;8;1,75;0;0,00;13.06.1999;22:48:08;13.06.1999;22:48:08
41752;Zell am Pettenfirst           ;851;513;60,28;47;9,16;466;90,84;188;40,34;106;22,75;93;19,96;60;12,88;4;0,86;9;1,93;6;1,29;13.06.1999;23:03:55;13.06.1999;23:03:55
41800;Bezirk Wels-Land                     ;44 558;25 545;57,33;861;3,37;24 684;96,63;7 424;30,08;7 549;30,58;6 890;27,91;2 023;8,20;392;1,59;301;1,22;105;0,43;13.06.1999;23:26:51;14.06.1999;9:16:45
41801;Aichkirchen                   ;363;259;71,35;11;4,25;248;95,75;117;47,18;23;9,27;81;32,66;16;6,45;2;0,81;9;3,63;0;0,00;13.06.1999;22:26:19;13.06.1999;22:26:19
41802;Bachmanning                   ;435;246;56,55;17;6,91;229;93,09;61;26,64;60;26,20;79;34,50;27;11,79;2;0,87;0;0,00;0;0,00;13.06.1999;22:31:46;13.06.1999;22:31:46
41803;Bad Wimsbach-Neydharting      ;1 739;1 018;58,54;44;4,32;974;95,68;387;39,73;277;28,44;209;21,46;70;7,19;12;1,23;14;1,44;5;0,51;13.06.1999;23:21:00;13.06.1999;23:21:00
41804;Buchkirchen                   ;2 632;1 433;54,45;35;2,44;1 398;97,56;372;26,61;522;37,34;356;25,46;111;7,94;16;1,14;16;1,14;5;0,36;13.06.1999;23:13:10;13.06.1999;23:13:10
41805;Eberstalzell                  ;1 459;822;56,34;47;5,72;775;94,28;391;50,45;107;13,81;201;25,94;48;6,19;11;1,42;16;2,06;1;0,13;13.06.1999;23:21:38;13.06.1999;23:21:38
41806;Edt bei Lambach               ;1 460;841;57,60;31;3,69;810;96,31;257;31,73;228;28,15;233;28,77;76;9,38;12;1,48;2;0,25;2;0,25;13.06.1999;22:53:56;13.06.1999;22:53:56
41807;Fischlham                     ;888;555;62,50;15;2,70;540;97,30;246;45,56;117;21,67;110;20,37;45;8,33;9;1,67;12;2,22;1;0,19;13.06.1999;23:11:49;13.06.1999;23:11:49
41808;Gunskirchen                   ;3 764;2 134;56,69;60;2,81;2 074;97,19;562;27,10;633;30,52;641;30,91;183;8,82;29;1,40;20;0,96;6;0,29;13.06.1999;23:12:34;13.06.1999;23:12:34
41809;Holzhausen                    ;441;255;57,82;9;3,53;246;96,47;80;32,52;87;35,37;55;22,36;17;6,91;6;2,44;1;0,41;0;0,00;13.06.1999;22:33:23;13.06.1999;22:33:23
41810;Krenglbach                    ;1 937;1 154;59,58;39;3,38;1 115;96,62;294;26,37;430;38,57;258;23,14;99;8,88;17;1,52;9;0,81;8;0,72;13.06.1999;22:41:30;13.06.1999;22:41:30
41811;Lambach                       ;2 354;1 247;52,97;37;2,97;1 210;97,03;374;30,91;349;28,84;344;28,43;108;8,93;13;1,07;16;1,32;6;0,50;13.06.1999;23:23:27;13.06.1999;23:23:27
41812;Marchtrenk                    ;7 914;4 397;55,56;127;2,89;4 270;97,11;735;17,21;1 806;42,30;1 249;29,25;338;7,92;82;1,92;37;0,87;23;0,54;13.06.1999;23:16:53;13.06.1999;23:16:53
41813;Neukirchen bei Lambach        ;593;361;60,88;17;4,71;344;95,29;152;44,19;59;17,15;97;28,20;29;8,43;5;1,45;2;0,58;0;0,00;13.06.1999;23:04:43;14.06.1999;9:16:45
41814;Offenhausen                   ;1 044;605;57,95;24;3,97;581;96,03;222;38,21;100;17,21;194;33,39;45;7,75;10;1,72;9;1,55;1;0,17;13.06.1999;23:17:36;13.06.1999;23:17:36
41815;Pennewang                     ;588;378;64,29;21;5,56;357;94,44;186;52,10;54;15,13;69;19,33;30;8,40;9;2,52;7;1,96;2;0,56;13.06.1999;23:24:00;13.06.1999;23:24:00
41816;Pichl bei Wels                ;1 877;1 129;60,15;34;3,01;1 095;96,99;412;37,63;271;24,75;282;25,75;90;8,22;12;1,10;25;2,28;3;0,27;13.06.1999;22:47:45;13.06.1999;22:47:45
41817;Sattledt                      ;1 541;889;57,69;20;2,25;869;97,75;311;35,79;224;25,78;256;29,46;47;5,41;16;1,84;11;1,27;4;0,46;13.06.1999;22:57:50;13.06.1999;22:57:50
41818;Schleißheim                   ;669;390;58,30;17;4,36;373;95,64;130;34,85;111;29,76;81;21,72;38;10,19;8;2,14;5;1,34;0;0,00;13.06.1999;22:31:02;13.06.1999;22:31:02
41819;Sipbachzell                   ;1 186;635;53,54;26;4,09;609;95,91;247;40,56;140;22,99;159;26,11;43;7,06;11;1,81;7;1,15;2;0,33;13.06.1999;23:20:01;13.06.1999;23:20:01
41820;Stadl-Paura                   ;3 472;1 839;52,97;53;2,88;1 786;97,12;319;17,86;721;40,37;528;29,56;159;8,90;32;1,79;11;0,62;16;0,90;13.06.1999;23:07:53;13.06.1999;23:07:53
41821;Steinerkirchen an der Traun   ;1 572;1 042;66,28;47;4,51;995;95,49;480;48,24;166;16,68;233;23,42;72;7,24;13;1,31;27;2,71;4;0,40;13.06.1999;23:06:59;13.06.1999;23:09:56
41822;Steinhaus                     ;1 349;886;65,68;41;4,63;845;95,37;232;27,46;166;19,64;380;44,97;47;5,56;8;0,95;10;1,18;2;0,24;13.06.1999;23:26:51;13.06.1999;23:26:51
41823;Thalheim bei Wels             ;3 439;1 920;55,83;60;3,13;1 860;96,87;564;30,32;504;27,10;487;26,18;220;11,83;45;2,42;29;1,56;11;0,59;13.06.1999;22:50:13;13.06.1999;22:50:13
41824;Weißkirchen an der Traun      ;1 842;1 110;60,26;29;2,61;1 081;97,39;293;27,10;394;36,45;308;28,49;65;6,01;12;1,11;6;0,56;3;0,28;13.06.1999;23:24:29;13.06.1999;23:24:29
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
