 Europaparlamentswahl  1999 - Stimmen;;;;;;;;;;;;;;;;;;;;;;;;;;
Nr.;Name;Wahlbe-;abgegeb.;Wahlbet.;ungültige;;gültige;;ÖVP;;SPÖ;;FPÖ;;GRÜNE;;LIF;;CSA;;KPÖ;;erste Eingabe;;letzte Eingabe;
;;rechtigte;Stimmen;in %;Stimmen;in %;Stimmen;in %;Stimmen;Ant. %;Stimmen;Ant. %;Stimmen;Ant. %;Stimmen;Ant. %;Stimmen;Ant. %;Stimmen;Ant. %;Stimmen;Ant. %;Datum;Zeit;Datum;Zeit
41219;Obernberg am Inn              ;1 282;628;48,99;12;1,91;616;98,09;181;29,38;164;26,62;217;35,23;34;5,52;15;2,44;4;0,65;1;0,16;13.06.1999;22:56:49;13.06.1999;22:56:49
41220;Ort im Innkreis               ;880;506;57,50;14;2,77;492;97,23;191;38,82;86;17,48;184;37,40;15;3,05;5;1,02;9;1,83;2;0,41;13.06.1999;23:31:05;13.06.1999;23:31:05
41221;Pattigham                     ;601;351;58,40;11;3,13;340;96,87;151;44,41;56;16,47;92;27,06;29;8,53;2;0,59;8;2,35;2;0,59;13.06.1999;22:35:25;13.06.1999;22:35:25
41222;Peterskirchen                 ;521;308;59,12;6;1,95;302;98,05;191;63,25;24;7,95;56;18,54;16;5,30;3;0,99;12;3,97;0;0,00;13.06.1999;23:08:12;13.06.1999;23:08:12
41223;Pramet                        ;713;422;59,19;17;4,03;405;95,97;121;29,88;101;24,94;147;36,30;27;6,67;6;1,48;3;0,74;0;0,00;13.06.1999;22:56:00;13.06.1999;22:56:00
41224;Reichersberg                  ;1 028;569;55,35;22;3,87;547;96,13;217;39,67;111;20,29;174;31,81;30;5,48;7;1,28;5;0,91;3;0,55;13.06.1999;22:49:19;13.06.1999;22:49:19
41225;Ried im Innkreis              ;8 159;4 390;53,81;135;3,08;4 255;96,92;1 178;27,69;977;22,96;1 347;31,66;557;13,09;126;2,96;54;1,27;16;0,38;13.06.1999;23:14:43;15.06.1999;8:12:31
41226;St.Georgen b. Obernberg am Inn;428;250;58,41;10;4,00;240;96,00;132;55,00;24;10,00;46;19,17;28;11,67;5;2,08;2;0,83;3;1,25;13.06.1999;22:42:20;13.06.1999;22:42:20
41227;St.Marienkirchen am Hausruck  ;463;340;73,43;27;7,94;313;92,06;152;48,56;26;8,31;97;30,99;17;5,43;2;0,64;17;5,43;2;0,64;13.06.1999;22:34:00;13.06.1999;22:34:00
41228;St.Martin im Innkreis         ;1 104;637;57,70;17;2,67;620;97,33;165;26,61;156;25,16;251;40,48;27;4,35;13;2,10;6;0,97;2;0,32;13.06.1999;22:45:37;13.06.1999;22:45:37
