Europawahl  7. Juni 2009;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nr.;Name;Wahlbe-;abgegeb.;Wahlbet.;ungültige;;gültige;;SPÖ;;ÖVP;;MARTIN;;GRÜNE;;FPÖ;;KPÖ;;JuLis;;BZÖ;;erste Eingabe;;letzte Eingabe;
;;rechtigte;Stimmen;in %;Stimmen;in %;Stimmen;in %;Stimmen;Ant. %;Stimmen;Ant. %;Stimmen;Ant. %;Stimmen;Ant. %;Stimmen;Ant. %;Stimmen;Ant. %;Stimmen;Ant. %;Stimmen;Ant. %;Datum;Zeit;Datum;Zeit
40416;Jeging;482; 	231 ; 	47,93 ; 	4 ; 	1,73 ; 	227 ; 	98,27 ; 	45 ; 	19,82 ; 	89 ; 	39,21 ; 	40 ; 	17,62 ; 	6 ; 	2,64 ; 	31 ; 	13,66 ; 	4 ; 	1,76 ; 	2 ; 	0,88 ; 	10 ; 	4,41 ;6/7/09;6/7/09;6/7/09;6/7/09
40417;Kirchberg bei Mattighofen     ;873; 	369 ; 	42,27 ; 	9 ; 	2,44 ; 	360 ; 	97,56 ; 	40 ; 	11,11 ; 	144 ; 	40,00 ; 	72 ; 	20,00 ; 	24 ; 	6,67 ; 	62 ; 	17,22 ; 	1 ; 	0,28 ; 	1 ; 	0,28 ; 	16 ; 	4,44 ;6/7/09;6/7/09;6/7/09;6/7/09
40418;Lengau                        ;3.440; 	1.403 ; 	40,78 ; 	51 ; 	3,64 ; 	1.352 ; 	96,36 ; 	434 ; 	32,10 ; 	299 ; 	22,12 ; 	227 ; 	16,79 ; 	101 ; 	7,47 ; 	208 ; 	15,38 ; 	10 ; 	0,74 ; 	10 ; 	0,74 ; 	63 ; 	4,66 ;6/7/09;6/7/09;6/7/09;6/7/09
40419;Lochen                        ;1.962; 	877 ; 	44,70 ; 	22 ; 	2,51 ; 	855 ; 	97,49 ; 	111 ; 	12,98 ; 	360 ; 	42,11 ; 	140 ; 	16,37 ; 	58 ; 	6,78 ; 	126 ; 	14,74 ; 	4 ; 	0,47 ; 	7 ; 	0,82 ; 	49 ; 	5,73 ;6/7/09;6/7/09;6/7/09;6/7/09
40420;Maria Schmolln                ;1.124; 	506 ; 	45,02 ; 	23 ; 	4,55 ; 	483 ; 	95,45 ; 	65 ; 	13,46 ; 	241 ; 	49,90 ; 	66 ; 	13,66 ; 	24 ; 	4,97 ; 	65 ; 	13,46 ; 	1 ; 	0,21 ; 	1 ; 	0,21 ; 	20 ; 	4,14 ;6/7/09;6/7/09;6/7/09;6/7/09
40421;Mattighofen                   ;3.679; 	1.369 ; 	37,21 ; 	48 ; 	3,51 ; 	1.321 ; 	96,49 ; 	432 ; 	32,70 ; 	254 ; 	19,23 ; 	257 ; 	19,45 ; 	82 ; 	6,21 ; 	222 ; 	16,81 ; 	8 ; 	0,61 ; 	7 ; 	0,53 ; 	59 ; 	4,47 ;6/7/09;6/7/09;6/7/09;6/7/09
40422;Mauerkirchen                  ;1.644; 	675 ; 	41,06 ; 	10 ; 	1,48 ; 	665 ; 	98,52 ; 	175 ; 	26,32 ; 	174 ; 	26,17 ; 	110 ; 	16,54 ; 	41 ; 	6,17 ; 	133 ; 	20,00 ; 	1 ; 	0,15 ; 	4 ; 	0,60 ; 	27 ; 	4,06 ;6/7/09;6/7/09;6/7/09;6/7/09
40423;Mining                        ;942; 	441 ; 	46,82 ; 	7 ; 	1,59 ; 	434 ; 	98,41 ; 	75 ; 	17,28 ; 	185 ; 	42,63 ; 	67 ; 	15,44 ; 	33 ; 	7,60 ; 	49 ; 	11,29 ; 	1 ; 	0,23 ; 	5 ; 	1,15 ; 	19 ; 	4,38 ;6/7/09;6/7/09;6/7/09;6/7/09
40424;Moosbach                      ;748; 	351 ; 	46,93 ; 	9 ; 	2,56 ; 	342 ; 	97,44 ; 	27 ; 	7,89 ; 	117 ; 	34,21 ; 	53 ; 	15,50 ; 	26 ; 	7,60 ; 	96 ; 	28,07 ; 	0 ; 	0 ; 	2 ; 	0,58 ; 	21 ; 	6,14 ;6/7/09;6/7/09;6/7/09;6/7/09
40425;Moosdorf                      ;1.210; 	472 ; 	39,01 ; 	14 ; 	2,97 ; 	458 ; 	97,03 ; 	131 ; 	28,60 ; 	123 ; 	26,86 ; 	73 ; 	15,94 ; 	31 ; 	6,77 ; 	70 ; 	15,28 ; 	2 ; 	0,44 ; 	6 ; 	1,31 ; 	22 ; 	4,80 ;6/7/09;6/7/09;6/7/09;6/7/09
