Europawahl  7. Juni 2009;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nr.;Name;Wahlbe-;abgegeb.;Wahlbet.;ungültige;;gültige;;SPÖ;;ÖVP;;MARTIN;;GRÜNE;;FPÖ;;KPÖ;;JuLis;;BZÖ;;erste Eingabe;;letzte Eingabe;
;;rechtigte;Stimmen;in %;Stimmen;in %;Stimmen;in %;Stimmen;Ant. %;Stimmen;Ant. %;Stimmen;Ant. %;Stimmen;Ant. %;Stimmen;Ant. %;Stimmen;Ant. %;Stimmen;Ant. %;Stimmen;Ant. %;Datum;Zeit;Datum;Zeit
40802;Bad Schallerbach              ;2.723; 	1.403 ; 	51,52 ; 	38 ; 	2,71 ; 	1.365 ; 	97,29 ; 	314 ; 	23,00 ; 	447 ; 	32,75 ; 	222 ; 	16,26 ; 	112 ; 	8,21 ; 	198 ; 	14,51 ; 	9 ; 	0,66 ; 	8 ; 	0,59 ; 	55 ; 	4,03 ;6/7/09;6/7/09;6/7/09;6/7/09
40803;Bruck-Waasen                  ;1.856; 	885 ; 	47,68 ; 	26 ; 	2,94 ; 	859 ; 	97,06 ; 	117 ; 	13,62 ; 	419 ; 	48,78 ; 	122 ; 	14,20 ; 	53 ; 	6,17 ; 	109 ; 	12,69 ; 	4 ; 	0,47 ; 	3 ; 	0,35 ; 	32 ; 	3,73 ;6/7/09;6/7/09;6/7/09;6/7/09
40804;Eschenau im Hausruckkreis     ;919; 	522 ; 	56,80 ; 	15 ; 	2,87 ; 	507 ; 	97,13 ; 	47 ; 	9,27 ; 	268 ; 	52,86 ; 	78 ; 	15,38 ; 	16 ; 	3,16 ; 	81 ; 	15,98 ; 	1 ; 	0,20 ; 	2 ; 	0,39 ; 	14 ; 	2,76 ;6/7/09;6/7/09;6/7/09;6/7/09
40805;Gallspach                     ;1.896; 	877 ; 	46,26 ; 	18 ; 	2,05 ; 	859 ; 	97,95 ; 	205 ; 	23,86 ; 	255 ; 	29,69 ; 	122 ; 	14,20 ; 	63 ; 	7,33 ; 	174 ; 	20,26 ; 	3 ; 	0,35 ; 	5 ; 	0,58 ; 	32 ; 	3,73 ;6/7/09;6/7/09;6/7/09;6/7/09
40806;Gaspoltshofen                 ;2.831; 	1.260 ; 	44,51 ; 	40 ; 	3,17 ; 	1.220 ; 	96,83 ; 	196 ; 	16,07 ; 	430 ; 	35,25 ; 	165 ; 	13,52 ; 	130 ; 	10,66 ; 	243 ; 	19,92 ; 	4 ; 	0,33 ; 	5 ; 	0,41 ; 	47 ; 	3,85 ;6/7/09;6/7/09;6/7/09;6/7/09
40807;Geboltskirchen                ;1.130; 	542 ; 	47,96 ; 	16 ; 	2,95 ; 	526 ; 	97,05 ; 	115 ; 	21,86 ; 	225 ; 	42,78 ; 	60 ; 	11,41 ; 	45 ; 	8,56 ; 	51 ; 	9,70 ; 	1 ; 	0,19 ; 	0 ; 	0 ; 	29 ; 	5,51 ;6/7/09;6/7/09;6/7/09;6/7/09
40808;Grieskirchen                  ;3.651; 	1.887 ; 	51,68 ; 	54 ; 	2,86 ; 	1.833 ; 	97,14 ; 	355 ; 	19,37 ; 	697 ; 	38,03 ; 	234 ; 	12,77 ; 	122 ; 	6,66 ; 	314 ; 	17,13 ; 	7 ; 	0,38 ; 	11 ; 	0,60 ; 	93 ; 	5,07 ;6/7/09;6/7/09;6/7/09;6/7/09
40809;Haag am Hausruck              ;1.650; 	828 ; 	50,18 ; 	28 ; 	3,38 ; 	800 ; 	96,62 ; 	173 ; 	21,63 ; 	290 ; 	36,25 ; 	114 ; 	14,25 ; 	53 ; 	6,63 ; 	122 ; 	15,25 ; 	7 ; 	0,88 ; 	6 ; 	0,75 ; 	35 ; 	4,38 ;6/7/09;6/7/09;6/7/09;6/7/09
40810;Heiligenberg                  ;539; 	290 ; 	53,80 ; 	7 ; 	2,41 ; 	283 ; 	97,59 ; 	13 ; 	4,59 ; 	191 ; 	67,49 ; 	24 ; 	8,48 ; 	12 ; 	4,24 ; 	32 ; 	11,31 ; 	1 ; 	0,35 ; 	0 ; 	0 ; 	10 ; 	3,53 ;6/7/09;6/7/09;6/7/09;6/7/09
40811;Hofkirchen an der Trattnach   ;1.185; 	627 ; 	52,91 ; 	22 ; 	3,51 ; 	605 ; 	96,49 ; 	95 ; 	15,70 ; 	260 ; 	42,98 ; 	97 ; 	16,03 ; 	34 ; 	5,62 ; 	87 ; 	14,38 ; 	2 ; 	0,33 ; 	1 ; 	0,17 ; 	29 ; 	4,79 ;6/7/09;6/7/09;6/7/09;6/7/09
40812;Kallham                       ;2.081; 	1.043 ; 	50,12 ; 	40 ; 	3,84 ; 	1.003 ; 	96,16 ; 	181 ; 	18,05 ; 	409 ; 	40,78 ; 	149 ; 	14,86 ; 	49 ; 	4,89 ; 	146 ; 	14,56 ; 	4 ; 	0,40 ; 	3 ; 	0,30 ; 	62 ; 	6,18 ;6/7/09;6/7/09;6/7/09;6/7/09
40813;Kematen am Innbach            ;1.021; 	511 ; 	50,05 ; 	5 ; 	0,98 ; 	506 ; 	99,02 ; 	91 ; 	17,98 ; 	170 ; 	33,60 ; 	83 ; 	16,40 ; 	34 ; 	6,72 ; 	107 ; 	21,15 ; 	0 ; 	0 ; 	2 ; 	0,40 ; 	19 ; 	3,75 ;6/7/09;6/7/09;6/7/09;6/7/09
40814;Meggenhofen                   ;1.040; 	539 ; 	51,83 ; 	12 ; 	2,23 ; 	527 ; 	97,77 ; 	47 ; 	8,92 ; 	286 ; 	54,27 ; 	72 ; 	13,66 ; 	38 ; 	7,21 ; 	66 ; 	12,52 ; 	1 ; 	0,19 ; 	0 ; 	0 ; 	17 ; 	3,23 ;6/7/09;6/7/09;6/7/09;6/7/09
40815;Michaelnbach                  ;1.019; 	488 ; 	47,89 ; 	13 ; 	2,66 ; 	475 ; 	97,34 ; 	46 ; 	9,68 ; 	261 ; 	54,95 ; 	61 ; 	12,84 ; 	27 ; 	5,68 ; 	51 ; 	10,74 ; 	0 ; 	0 ; 	5 ; 	1,05 ; 	24 ; 	5,05 ;6/7/09;6/7/09;6/7/09;6/7/09
40816;Natternbach                   ;1.913; 	945 ; 	49,40 ; 	36 ; 	3,81 ; 	909 ; 	96,19 ; 	221 ; 	24,31 ; 	365 ; 	40,15 ; 	149 ; 	16,39 ; 	40 ; 	4,40 ; 	102 ; 	11,22 ; 	2 ; 	0,22 ; 	1 ; 	0,11 ; 	29 ; 	3,19 ;6/7/09;6/7/09;6/7/09;6/7/09
40817;Neukirchen am Walde           ;1.316; 	714 ; 	54,26 ; 	20 ; 	2,80 ; 	694 ; 	97,20 ; 	89 ; 	12,82 ; 	343 ; 	49,42 ; 	95 ; 	13,69 ; 	33 ; 	4,76 ; 	100 ; 	14,41 ; 	1 ; 	0,14 ; 	1 ; 	0,14 ; 	32 ; 	4,61 ;6/7/09;6/7/09;6/7/09;6/7/09
40818;Neumarkt im Hausruckkreis     ;1.144; 	517 ; 	45,19 ; 	13 ; 	2,51 ; 	504 ; 	97,49 ; 	145 ; 	28,77 ; 	145 ; 	28,77 ; 	80 ; 	15,87 ; 	18 ; 	3,57 ; 	101 ; 	20,04 ; 	0 ; 	0 ; 	1 ; 	0,20 ; 	14 ; 	2,78 ;6/7/09;6/7/09;6/7/09;6/7/09
40819;Peuerbach                     ;1.736; 	781 ; 	44,99 ; 	21 ; 	2,69 ; 	760 ; 	97,31 ; 	114 ; 	15,00 ; 	308 ; 	40,53 ; 	131 ; 	17,24 ; 	72 ; 	9,47 ; 	81 ; 	10,66 ; 	1 ; 	0,13 ; 	1 ; 	0,13 ; 	52 ; 	6,84 ;6/7/09;6/7/09;6/7/09;6/7/09
40820;Pötting                       ;451; 	279 ; 	61,86 ; 	7 ; 	2,51 ; 	272 ; 	97,49 ; 	24 ; 	8,82 ; 	173 ; 	63,60 ; 	38 ; 	13,97 ; 	8 ; 	2,94 ; 	24 ; 	8,82 ; 	1 ; 	0,37 ; 	0 ; 	0 ; 	4 ; 	1,47 ;6/7/09;6/7/09;6/7/09;6/7/09
40821;Pollham                       ;735; 	380 ; 	51,70 ; 	11 ; 	2,89 ; 	369 ; 	97,11 ; 	35 ; 	9,49 ; 	163 ; 	44,17 ; 	57 ; 	15,45 ; 	49 ; 	13,28 ; 	38 ; 	10,30 ; 	2 ; 	0,54 ; 	1 ; 	0,27 ; 	24 ; 	6,50 ;6/7/09;6/7/09;6/7/09;6/7/09
40822;Pram                          ;1.436; 	650 ; 	45,26 ; 	9 ; 	1,38 ; 	641 ; 	98,62 ; 	89 ; 	13,88 ; 	249 ; 	38,85 ; 	87 ; 	13,57 ; 	63 ; 	9,83 ; 	107 ; 	16,69 ; 	3 ; 	0,47 ; 	2 ; 	0,31 ; 	41 ; 	6,40 ;6/7/09;6/7/09;6/7/09;6/7/09
40823;Rottenbach                    ;840; 	432 ; 	51,43 ; 	14 ; 	3,24 ; 	418 ; 	96,76 ; 	74 ; 	17,70 ; 	153 ; 	36,60 ; 	56 ; 	13,40 ; 	20 ; 	4,78 ; 	93 ; 	22,25 ; 	1 ; 	0,24 ; 	0 ; 	0 ; 	21 ; 	5,02 ;6/7/09;6/7/09;6/7/09;6/7/09
40824;St.Agatha                     ;1.727; 	800 ; 	46,32 ; 	23 ; 	2,88 ; 	777 ; 	97,13 ; 	97 ; 	12,48 ; 	400 ; 	51,48 ; 	123 ; 	15,83 ; 	44 ; 	5,66 ; 	68 ; 	8,75 ; 	3 ; 	0,39 ; 	4 ; 	0,51 ; 	38 ; 	4,89 ;6/7/09;6/7/09;6/7/09;6/7/09
40825;St.Georgen bei Grieskirchen   ;885; 	477 ; 	53,90 ; 	13 ; 	2,73 ; 	464 ; 	97,27 ; 	74 ; 	15,95 ; 	190 ; 	40,95 ; 	83 ; 	17,89 ; 	46 ; 	9,91 ; 	53 ; 	11,42 ; 	1 ; 	0,22 ; 	1 ; 	0,22 ; 	16 ; 	3,45 ;6/7/09;6/7/09;6/7/09;6/7/09
40826;St.Thomas                     ;359; 	177 ; 	49,58 ; 	10 ; 	5,65 ; 	167 ; 	94,35 ; 	9 ; 	5,39 ; 	84 ; 	50,30 ; 	28 ; 	16,77 ; 	12 ; 	7,19 ; 	25 ; 	14,97 ; 	1 ; 	0,60 ; 	1 ; 	0,60 ; 	7 ; 	4,19 ;6/7/09;6/7/09;6/7/09;6/7/09
40827;Schlüßlberg                   ;2.360; 	1.196 ; 	50,68 ; 	29 ; 	2,42 ; 	1.167 ; 	97,58 ; 	345 ; 	29,56 ; 	304 ; 	26,05 ; 	217 ; 	18,59 ; 	75 ; 	6,43 ; 	163 ; 	13,97 ; 	7 ; 	0,60 ; 	11 ; 	0,94 ; 	45 ; 	3,86 ;6/7/09;6/7/09;6/7/09;6/7/09
40828;Steegen                       ;869; 	412 ; 	47,41 ; 	4 ; 	0,97 ; 	408 ; 	99,03 ; 	54 ; 	13,24 ; 	196 ; 	48,04 ; 	65 ; 	15,93 ; 	34 ; 	8,33 ; 	44 ; 	10,78 ; 	0 ; 	0 ; 	1 ; 	0,25 ; 	14 ; 	3,43 ;6/7/09;6/7/09;6/7/09;6/7/09
40829;Taufkirchen an der Trattnach  ;1.636; 	728 ; 	44,50 ; 	23 ; 	3,16 ; 	705 ; 	96,84 ; 	124 ; 	17,59 ; 	288 ; 	40,85 ; 	82 ; 	11,63 ; 	37 ; 	5,25 ; 	145 ; 	20,57 ; 	2 ; 	0,28 ; 	0 ; 	0 ; 	27 ; 	3,83 ;6/7/09;6/7/09;6/7/09;6/7/09
40830;Tollet                        ;715; 	421 ; 	58,88 ; 	10 ; 	2,38 ; 	411 ; 	97,62 ; 	80 ; 	19,46 ; 	171 ; 	41,61 ; 	56 ; 	13,63 ; 	45 ; 	10,95 ; 	39 ; 	9,49 ; 	2 ; 	0,49 ; 	1 ; 	0,24 ; 	17 ; 	4,14 ;6/7/09;6/7/09;6/7/09;6/7/09
40831;Waizenkirchen                 ;2.945; 	1.474 ; 	50,17 ; 	33 ; 	2,24 ; 	1.441 ; 	97,76 ; 	231 ; 	16,03 ; 	684 ; 	47,47 ; 	200 ; 	13,88 ; 	100 ; 	6,94 ; 	140 ; 	9,72 ; 	8 ; 	0,56 ; 	4 ; 	0,28 ; 	74 ; 	5,14 ;6/7/09;6/7/09;6/7/09;6/7/09
40832;Wallern an der Trattnach      ;2.379; 	1.284 ; 	53,97 ; 	48 ; 	3,74 ; 	1.236 ; 	96,26 ; 	302 ; 	24,43 ; 	382 ; 	30,91 ; 	205 ; 	16,59 ; 	84 ; 	6,80 ; 	197 ; 	15,94 ; 	4 ; 	0,32 ; 	7 ; 	0,57 ; 	55 ; 	4,45 ;6/7/09;6/7/09;6/7/09;6/7/09
40833;Weibern                       ;1.261; 	559 ; 	44,33 ; 	17 ; 	3,04 ; 	542 ; 	96,96 ; 	85 ; 	15,68 ; 	243 ; 	44,83 ; 	83 ; 	15,31 ; 	57 ; 	10,52 ; 	46 ; 	8,49 ; 	4 ; 	0,74 ; 	3 ; 	0,55 ; 	21 ; 	3,87 ;6/7/09;6/7/09;6/7/09;6/7/09
40834;Wendling                      ;624; 	313 ; 	50,16 ; 	4 ; 	1,28 ; 	309 ; 	98,72 ; 	23 ; 	7,44 ; 	174 ; 	56,31 ; 	34 ; 	11,00 ; 	15 ; 	4,85 ; 	46 ; 	14,89 ; 	0 ; 	0 ; 	2 ; 	0,65 ; 	15 ; 	4,85 ;6/7/09;6/7/09;6/7/09;6/7/09
40899;Wahlkarten Grieskirchen                  ;0; 	1.342 ; 	0 ; 	28 ; 	2,09 ; 	1.314 ; 	97,91 ; 	206 ; 	15,68 ; 	536 ; 	40,79 ; 	178 ; 	13,55 ; 	200 ; 	15,22 ; 	134 ; 	10,20 ; 	6 ; 	0,46 ; 	8 ; 	0,61 ; 	46 ; 	3,50 ;6/9/09;6/9/09;6/15/09;6/15/09
40900;Bezirk Kirchdorf an der Krems        ;43.232; 	22.867 ; 	52,89 ; 	563 ; 	2,46 ; 	22.304 ; 	97,54 ; 	5.164 ; 	23,15 ; 	7.485 ; 	33,56 ; 	3.671 ; 	16,46 ; 	1.737 ; 	7,79 ; 	3.069 ; 	13,76 ; 	94 ; 	0,42 ; 	86 ; 	0,39 ; 	998 ; 	4,47 ;6/7/09;6/7/09;6/15/09;6/15/09
40901;Edlbach                       ;537; 	293 ; 	54,56 ; 	8 ; 	2,73 ; 	285 ; 	97,27 ; 	53 ; 	18,60 ; 	132 ; 	46,32 ; 	42 ; 	14,74 ; 	11 ; 	3,86 ; 	28 ; 	9,82 ; 	1 ; 	0,35 ; 	1 ; 	0,35 ; 	17 ; 	5,96 ;6/7/09;6/7/09;6/7/09;6/7/09
40902;Grünburg                      ;2.883; 	1.359 ; 	47,14 ; 	52 ; 	3,83 ; 	1.307 ; 	96,17 ; 	342 ; 	26,17 ; 	405 ; 	30,99 ; 	216 ; 	16,53 ; 	64 ; 	4,90 ; 	216 ; 	16,53 ; 	4 ; 	0,31 ; 	1 ; 	0,08 ; 	59 ; 	4,51 ;6/7/09;6/7/09;6/7/09;6/7/09
40903;Hinterstoder                  ;792; 	339 ; 	42,80 ; 	3 ; 	0,88 ; 	336 ; 	99,12 ; 	59 ; 	17,56 ; 	124 ; 	36,90 ; 	53 ; 	15,77 ; 	15 ; 	4,46 ; 	68 ; 	20,24 ; 	1 ; 	0,30 ; 	4 ; 	1,19 ; 	12 ; 	3,57 ;6/7/09;6/7/09;6/7/09;6/7/09
40904;Inzersdorf im Kremstal        ;1.478; 	748 ; 	50,61 ; 	17 ; 	2,27 ; 	731 ; 	97,73 ; 	132 ; 	18,06 ; 	255 ; 	34,88 ; 	149 ; 	20,38 ; 	60 ; 	8,21 ; 	91 ; 	12,45 ; 	4 ; 	0,55 ; 	4 ; 	0,55 ; 	36 ; 	4,92 ;6/7/09;6/7/09;6/7/09;6/7/09
40905;Kirchdorf an der Krems        ;3.101; 	1.584 ; 	51,08 ; 	27 ; 	1,70 ; 	1.557 ; 	98,30 ; 	447 ; 	28,71 ; 	402 ; 	25,82 ; 	230 ; 	14,77 ; 	194 ; 	12,46 ; 	199 ; 	12,78 ; 	6 ; 	0,39 ; 	6 ; 	0,39 ; 	73 ; 	4,69 ;6/7/09;6/7/09;6/7/09;6/7/09
40906;Klaus an der Pyhrnbahn        ;884; 	528 ; 	59,73 ; 	13 ; 	2,46 ; 	515 ; 	97,54 ; 	223 ; 	43,30 ; 	91 ; 	17,67 ; 	100 ; 	19,42 ; 	17 ; 	3,30 ; 	69 ; 	13,40 ; 	1 ; 	0,19 ; 	1 ; 	0,19 ; 	13 ; 	2,52 ;6/7/09;6/7/09;6/7/09;6/7/09
40907;Kremsmünster                  ;4.742; 	2.281 ; 	48,10 ; 	65 ; 	2,85 ; 	2.216 ; 	97,15 ; 	393 ; 	17,73 ; 	882 ; 	39,80 ; 	366 ; 	16,52 ; 	161 ; 	7,27 ; 	300 ; 	13,54 ; 	4 ; 	0,18 ; 	8 ; 	0,36 ; 	102 ; 	4,60 ;6/7/09;6/7/09;6/7/09;6/7/09
40908;Micheldorf in Oberösterreich  ;4.579; 	2.369 ; 	51,74 ; 	55 ; 	2,32 ; 	2.314 ; 	97,68 ; 	725 ; 	31,33 ; 	522 ; 	22,56 ; 	432 ; 	18,67 ; 	207 ; 	8,95 ; 	303 ; 	13,09 ; 	21 ; 	0,91 ; 	7 ; 	0,30 ; 	97 ; 	4,19 ;6/7/09;6/7/09;6/7/09;6/7/09
40909;Molln                         ;2.841; 	1.478 ; 	52,02 ; 	36 ; 	2,44 ; 	1.442 ; 	97,56 ; 	412 ; 	28,57 ; 	400 ; 	27,74 ; 	269 ; 	18,65 ; 	97 ; 	6,73 ; 	185 ; 	12,83 ; 	5 ; 	0,35 ; 	1 ; 	0,07 ; 	73 ; 	5,06 ;6/7/09;6/7/09;6/7/09;6/7/09
40910;Nußbach                       ;1.831; 	926 ; 	50,57 ; 	33 ; 	3,56 ; 	893 ; 	96,44 ; 	148 ; 	16,57 ; 	418 ; 	46,81 ; 	141 ; 	15,79 ; 	52 ; 	5,82 ; 	86 ; 	9,63 ; 	6 ; 	0,67 ; 	2 ; 	0,22 ; 	40 ; 	4,48 ;6/7/09;6/7/09;6/7/09;6/7/09
40911;Oberschlierbach               ;370; 	218 ; 	58,92 ; 	5 ; 	2,29 ; 	213 ; 	97,71 ; 	44 ; 	20,66 ; 	93 ; 	43,66 ; 	26 ; 	12,21 ; 	27 ; 	12,68 ; 	15 ; 	7,04 ; 	0 ; 	0 ; 	1 ; 	0,47 ; 	7 ; 	3,29 ;6/7/09;6/7/09;6/7/09;6/7/09
40912;Pettenbach                    ;3.769; 	1.866 ; 	49,51 ; 	49 ; 	2,63 ; 	1.817 ; 	97,37 ; 	339 ; 	18,66 ; 	530 ; 	29,17 ; 	315 ; 	17,34 ; 	161 ; 	8,86 ; 	326 ; 	17,94 ; 	20 ; 	1,10 ; 	10 ; 	0,55 ; 	116 ; 	6,38 ;6/7/09;6/7/09;6/7/09;6/7/09
40913;Ried im Traunkreis            ;2.051; 	1.007 ; 	49,10 ; 	36 ; 	3,57 ; 	971 ; 	96,43 ; 	145 ; 	14,93 ; 	388 ; 	39,96 ; 	131 ; 	13,49 ; 	58 ; 	5,97 ; 	202 ; 	20,80 ; 	2 ; 	0,21 ; 	2 ; 	0,21 ; 	43 ; 	4,43 ;6/7/09;6/7/09;6/7/09;6/7/09
40914;Rosenau am Hengstpaß          ;569; 	318 ; 	55,89 ; 	3 ; 	0,94 ; 	315 ; 	99,06 ; 	123 ; 	39,05 ; 	96 ; 	30,48 ; 	42 ; 	13,33 ; 	15 ; 	4,76 ; 	34 ; 	10,79 ; 	0 ; 	0 ; 	2 ; 	0,63 ; 	3 ; 	0,95 ;6/7/09;6/7/09;6/7/09;6/7/09
40915;Roßleithen                    ;1.471; 	755 ; 	51,33 ; 	18 ; 	2,38 ; 	737 ; 	97,62 ; 	211 ; 	28,63 ; 	269 ; 	36,50 ; 	118 ; 	16,01 ; 	35 ; 	4,75 ; 	77 ; 	10,45 ; 	2 ; 	0,27 ; 	2 ; 	0,27 ; 	23 ; 	3,12 ;6/7/09;6/7/09;6/7/09;6/7/09
40916;St.Pankraz                    ;270; 	169 ; 	62,59 ; 	3 ; 	1,78 ; 	166 ; 	98,22 ; 	46 ; 	27,71 ; 	35 ; 	21,08 ; 	25 ; 	15,06 ; 	1 ; 	0,60 ; 	54 ; 	32,53 ; 	0 ; 	0 ; 	1 ; 	0,60 ; 	4 ; 	2,41 ;6/7/09;6/7/09;6/7/09;6/7/09
40917;Schlierbach                   ;2.128; 	1.049 ; 	49,30 ; 	22 ; 	2,10 ; 	1.027 ; 	97,90 ; 	181 ; 	17,62 ; 	350 ; 	34,08 ; 	157 ; 	15,29 ; 	147 ; 	14,31 ; 	133 ; 	12,95 ; 	3 ; 	0,29 ; 	4 ; 	0,39 ; 	52 ; 	5,06 ;6/7/09;6/7/09;6/7/09;6/7/09
40918;Spital am Pyhrn               ;1.759; 	819 ; 	46,56 ; 	12 ; 	1,47 ; 	807 ; 	98,53 ; 	228 ; 	28,25 ; 	273 ; 	33,83 ; 	149 ; 	18,46 ; 	29 ; 	3,59 ; 	102 ; 	12,64 ; 	0 ; 	0 ; 	2 ; 	0,25 ; 	24 ; 	2,97 ;6/7/09;6/7/09;6/7/09;6/7/09
40919;Steinbach am Ziehberg         ;658; 	354 ; 	53,80 ; 	11 ; 	3,11 ; 	343 ; 	96,89 ; 	58 ; 	16,91 ; 	143 ; 	41,69 ; 	41 ; 	11,95 ; 	21 ; 	6,12 ; 	65 ; 	18,95 ; 	1 ; 	0,29 ; 	0 ; 	0 ; 	14 ; 	4,08 ;6/7/09;6/7/09;6/7/09;6/7/09
40920;Steinbach an der Steyr        ;1.606; 	855 ; 	53,24 ; 	27 ; 	3,16 ; 	828 ; 	96,84 ; 	160 ; 	19,32 ; 	340 ; 	41,06 ; 	116 ; 	14,01 ; 	35 ; 	4,23 ; 	127 ; 	15,34 ; 	2 ; 	0,24 ; 	1 ; 	0,12 ; 	47 ; 	5,68 ;6/7/09;6/7/09;6/7/09;6/7/09
40921;Vorderstoder                  ;651; 	300 ; 	46,08 ; 	10 ; 	3,33 ; 	290 ; 	96,67 ; 	43 ; 	14,83 ; 	135 ; 	46,55 ; 	46 ; 	15,86 ; 	14 ; 	4,83 ; 	39 ; 	13,45 ; 	0 ; 	0 ; 	3 ; 	1,03 ; 	10 ; 	3,45 ;6/7/09;6/7/09;6/7/09;6/7/09
40922;Wartberg an der Krems         ;2.309; 	1.121 ; 	48,55 ; 	33 ; 	2,94 ; 	1.088 ; 	97,06 ; 	177 ; 	16,27 ; 	478 ; 	43,93 ; 	149 ; 	13,69 ; 	88 ; 	8,09 ; 	138 ; 	12,68 ; 	3 ; 	0,28 ; 	7 ; 	0,64 ; 	48 ; 	4,41 ;6/7/09;6/7/09;6/7/09;6/7/09
40923;Windischgarsten               ;1.953; 	881 ; 	45,11 ; 	10 ; 	1,14 ; 	871 ; 	98,86 ; 	244 ; 	28,01 ; 	271 ; 	31,11 ; 	160 ; 	18,37 ; 	49 ; 	5,63 ; 	89 ; 	10,22 ; 	2 ; 	0,23 ; 	5 ; 	0,57 ; 	51 ; 	5,86 ;6/7/09;6/7/09;6/7/09;6/7/09
40999;Wahlkarten Kirchdorf an der Krems        ;0; 	1.250 ; 	0 ; 	15 ; 	1,20 ; 	1.235 ; 	98,80 ; 	231 ; 	18,70 ; 	453 ; 	36,68 ; 	198 ; 	16,03 ; 	179 ; 	14,49 ; 	123 ; 	9,96 ; 	6 ; 	0,49 ; 	11 ; 	0,89 ; 	34 ; 	2,75 ;6/9/09;6/9/09;6/15/09;6/15/09
41000;Bezirk Linz-Land                     ;104.349; 	55.545 ; 	53,23 ; 	1.177 ; 	2,12 ; 	54.368 ; 	97,88 ; 	15.580 ; 	28,66 ; 	12.958 ; 	23,83 ; 	11.026 ; 	20,28 ; 	4.584 ; 	8,43 ; 	7.489 ; 	13,77 ; 	284 ; 	0,52 ; 	277 ; 	0,51 ; 	2.170 ; 	3,99 ;6/7/09;6/7/09;6/15/09;6/15/09
41001;Allhaming                     ;820; 	493 ; 	60,12 ; 	15 ; 	3,04 ; 	478 ; 	96,96 ; 	103 ; 	21,55 ; 	205 ; 	42,89 ; 	82 ; 	17,15 ; 	22 ; 	4,60 ; 	40 ; 	8,37 ; 	0 ; 	0 ; 	2 ; 	0,42 ; 	24 ; 	5,02 ;6/7/09;6/7/09;6/7/09;6/7/09
41002;Ansfelden                     ;11.155; 	5.373 ; 	48,17 ; 	132 ; 	2,46 ; 	5.241 ; 	97,54 ; 	1.698 ; 	32,40 ; 	783 ; 	14,94 ; 	1.230 ; 	23,47 ; 	318 ; 	6,07 ; 	931 ; 	17,76 ; 	25 ; 	0,48 ; 	21 ; 	0,40 ; 	235 ; 	4,48 ;6/7/09;6/7/09;6/7/09;6/7/09
41003;Asten                         ;4.750; 	2.157 ; 	45,41 ; 	53 ; 	2,46 ; 	2.104 ; 	97,54 ; 	696 ; 	33,08 ; 	256 ; 	12,17 ; 	506 ; 	24,05 ; 	95 ; 	4,52 ; 	396 ; 	18,82 ; 	8 ; 	0,38 ; 	10 ; 	0,48 ; 	137 ; 	6,51 ;6/7/09;6/7/09;6/7/09;6/7/09
41004;Eggendorf im Traunkreis       ;618; 	330 ; 	53,40 ; 	9 ; 	2,73 ; 	321 ; 	97,27 ; 	91 ; 	28,35 ; 	127 ; 	39,56 ; 	62 ; 	19,31 ; 	17 ; 	5,30 ; 	15 ; 	4,67 ; 	0 ; 	0 ; 	2 ; 	0,62 ; 	7 ; 	2,18 ;6/7/09;6/7/09;6/7/09;6/7/09
41005;Enns                          ;8.159; 	3.801 ; 	46,59 ; 	82 ; 	2,16 ; 	3.719 ; 	97,84 ; 	1.130 ; 	30,38 ; 	825 ; 	22,18 ; 	785 ; 	21,11 ; 	304 ; 	8,17 ; 	512 ; 	13,77 ; 	13 ; 	0,35 ; 	23 ; 	0,62 ; 	127 ; 	3,41 ;6/7/09;6/7/09;6/7/09;6/7/09
41006;Hargelsberg                   ;961; 	568 ; 	59,11 ; 	16 ; 	2,82 ; 	552 ; 	97,18 ; 	104 ; 	18,84 ; 	204 ; 	36,96 ; 	109 ; 	19,75 ; 	40 ; 	7,25 ; 	66 ; 	11,96 ; 	5 ; 	0,91 ; 	2 ; 	0,36 ; 	22 ; 	3,99 ;6/7/09;6/7/09;6/7/09;6/7/09
41007;Hörsching                     ;4.527; 	2.125 ; 	46,94 ; 	37 ; 	1,74 ; 	2.088 ; 	98,26 ; 	515 ; 	24,66 ; 	438 ; 	20,98 ; 	506 ; 	24,23 ; 	166 ; 	7,95 ; 	354 ; 	16,95 ; 	8 ; 	0,38 ; 	11 ; 	0,53 ; 	90 ; 	4,31 ;6/7/09;6/7/09;6/7/09;6/7/09
41008;Hofkirchen im Traunkreis      ;1.301; 	633 ; 	48,65 ; 	8 ; 	1,26 ; 	625 ; 	98,74 ; 	154 ; 	24,64 ; 	211 ; 	33,76 ; 	110 ; 	17,60 ; 	49 ; 	7,84 ; 	66 ; 	10,56 ; 	1 ; 	0,16 ; 	5 ; 	0,80 ; 	29 ; 	4,64 ;6/7/09;6/7/09;6/7/09;6/7/09
41009;Kematen an der Krems          ;1.828; 	975 ; 	53,34 ; 	14 ; 	1,44 ; 	961 ; 	98,56 ; 	230 ; 	23,93 ; 	326 ; 	33,92 ; 	168 ; 	17,48 ; 	67 ; 	6,97 ; 	125 ; 	13,01 ; 	5 ; 	0,52 ; 	4 ; 	0,42 ; 	36 ; 	3,75 ;6/7/09;6/7/09;6/7/09;6/7/09
