Europawahl 2014 - Stimmen;;;;;;;Stand:;41785,6680579051;;;;;;;;;;;;;;;;;;;;;;;;;;
Nr.;Name;Wahlbe-;abgegeb.;Wahlbet.;ungültige;;gültige;;ÖVP;;SPÖ;;leer;;FPÖ;;GRÜNE;;BZÖ;;NEOS;;REKOS;;ANDERS;;EUSTOP;;WANDL;;erste Eingabe;;letzte Eingabe;
;;rechtigte;Stimmen;in %;Stimmen;in %;Stimmen;in %;Stimmen;Ant. %;Stimmen;Ant. %;Stimmen;Ant. %;Stimmen;Ant. %;Stimmen;Ant. %;Stimmen;Ant. %;Stimmen;Ant. %;Stimmen;Ant. %;Stimmen;Ant. %;Stimmen;Ant. %;Stimmen;Ant. %;Datum;Zeit;Datum;Zeit
40403;Auerbach                      ;421; 	198 ; 	47,03 ; 	10 ; 	5,05 ; 	188 ; 	94,95 ; 	86 ; 	45,74 ; 	12 ; 	6,38 ; 	0 ; 	0 ; 	61 ; 	32,45 ; 	9 ; 	4,79 ; 	1 ; 	0,53 ; 	10 ; 	5,32 ; 	3 ; 	1,60 ; 	0 ; 	0 ; 	6 ; 	3,19 ; 	0 ; 	0 ;41784,5173907755;41784,5173907755;41784,5173907755;41784,5173907755
40404;Braunau am Inn                ;12.023; 	3.977 ; 	33,08 ; 	113 ; 	2,84 ; 	3.864 ; 	97,16 ; 	763 ; 	19,75 ; 	1.040 ; 	26,92 ; 	0 ; 	0 ; 	954 ; 	24,69 ; 	601 ; 	15,55 ; 	33 ; 	0,85 ; 	246 ; 	6,37 ; 	40 ; 	1,04 ; 	63 ; 	1,63 ; 	124 ; 	3,21 ; 	0 ; 	0 ;41784,6678051736;41784,6678051736;41784,6678051736;41784,6678051736
40405;Burgkirchen                   ;2.037; 	775 ; 	38,05 ; 	29 ; 	3,74 ; 	746 ; 	96,26 ; 	293 ; 	39,28 ; 	137 ; 	18,36 ; 	0 ; 	0 ; 	157 ; 	21,05 ; 	81 ; 	10,86 ; 	5 ; 	0,67 ; 	39 ; 	5,23 ; 	3 ; 	0,40 ; 	9 ; 	1,21 ; 	22 ; 	2,95 ; 	0 ; 	0 ;41784,594478206;41784,594478206;41784,594478206;41784,594478206
40406;Eggelsberg                    ;1.766; 	602 ; 	34,09 ; 	22 ; 	3,65 ; 	580 ; 	96,35 ; 	199 ; 	34,31 ; 	91 ; 	15,69 ; 	0 ; 	0 ; 	144 ; 	24,83 ; 	73 ; 	12,59 ; 	1 ; 	0,17 ; 	45 ; 	7,76 ; 	9 ; 	1,55 ; 	3 ; 	0,52 ; 	15 ; 	2,59 ; 	0 ; 	0 ;41784,6029860301;41784,6029860301;41784,6029860301;41784,6029860301
40407;Feldkirchen bei Mattighofen   ;1.560; 	564 ; 	36,15 ; 	14 ; 	2,48 ; 	550 ; 	97,52 ; 	215 ; 	39,09 ; 	71 ; 	12,91 ; 	0 ; 	0 ; 	149 ; 	27,09 ; 	51 ; 	9,27 ; 	0 ; 	0 ; 	28 ; 	5,09 ; 	10 ; 	1,82 ; 	13 ; 	2,36 ; 	13 ; 	2,36 ; 	0 ; 	0 ;41784,6031908218;41784,6031908218;41784,6031908218;41784,6031908218
40408;Franking                      ;731; 	306 ; 	41,86 ; 	21 ; 	6,86 ; 	285 ; 	93,14 ; 	120 ; 	42,11 ; 	44 ; 	15,44 ; 	0 ; 	0 ; 	74 ; 	25,96 ; 	17 ; 	5,96 ; 	1 ; 	0,35 ; 	17 ; 	5,96 ; 	4 ; 	1,40 ; 	2 ; 	0,70 ; 	6 ; 	2,11 ; 	0 ; 	0 ;41784,5353261921;41784,5353261921;41784,5353261921;41784,5353261921
40409;Geretsberg                    ;854; 	326 ; 	38,17 ; 	14 ; 	4,29 ; 	312 ; 	95,71 ; 	150 ; 	48,08 ; 	45 ; 	14,42 ; 	0 ; 	0 ; 	56 ; 	17,95 ; 	27 ; 	8,65 ; 	3 ; 	0,96 ; 	20 ; 	6,41 ; 	1 ; 	0,32 ; 	4 ; 	1,28 ; 	6 ; 	1,92 ; 	0 ; 	0 ;41784,5478847222;41784,5478847222;41784,5478847222;41784,5478847222
40410;Gilgenberg am Weilhart        ;1.026; 	335 ; 	32,65 ; 	6 ; 	1,79 ; 	329 ; 	98,21 ; 	143 ; 	43,47 ; 	28 ; 	8,51 ; 	0 ; 	0 ; 	85 ; 	25,84 ; 	40 ; 	12,16 ; 	2 ; 	0,61 ; 	17 ; 	5,17 ; 	2 ; 	0,61 ; 	5 ; 	1,52 ; 	7 ; 	2,13 ; 	0 ; 	0 ;41784,5652756944;41784,5652756944;41784,5652756944;41784,5652756944
40411;Haigermoos                    ;463; 	216 ; 	46,65 ; 	12 ; 	5,56 ; 	204 ; 	94,44 ; 	87 ; 	42,65 ; 	25 ; 	12,25 ; 	0 ; 	0 ; 	49 ; 	24,02 ; 	19 ; 	9,31 ; 	1 ; 	0,49 ; 	10 ; 	4,90 ; 	0 ; 	0 ; 	0 ; 	0 ; 	13 ; 	6,37 ; 	0 ; 	0 ;41784,5352018866;41784,5352018866;41784,5352018866;41784,5352018866
40412;Handenberg                    ;1.055; 	413 ; 	39,15 ; 	13 ; 	3,15 ; 	400 ; 	96,85 ; 	169 ; 	42,25 ; 	59 ; 	14,75 ; 	0 ; 	0 ; 	88 ; 	22,00 ; 	27 ; 	6,75 ; 	2 ; 	0,50 ; 	26 ; 	6,50 ; 	19 ; 	4,75 ; 	5 ; 	1,25 ; 	5 ; 	1,25 ; 	0 ; 	0 ;41784,5829864583;41784,5829864583;41784,5829864583;41784,5829864583
