Europawahl 2014 - Stimmen;;;;;;;Stand:;41785,6680579051;;;;;;;;;;;;;;;;;;;;;;;;;;
Nr.;Name;Wahlbe-;abgegeb.;Wahlbet.;ungültige;;gültige;;ÖVP;;SPÖ;;leer;;FPÖ;;GRÜNE;;BZÖ;;NEOS;;REKOS;;ANDERS;;EUSTOP;;WANDL;;erste Eingabe;;letzte Eingabe;
;;rechtigte;Stimmen;in %;Stimmen;in %;Stimmen;in %;Stimmen;Ant. %;Stimmen;Ant. %;Stimmen;Ant. %;Stimmen;Ant. %;Stimmen;Ant. %;Stimmen;Ant. %;Stimmen;Ant. %;Stimmen;Ant. %;Stimmen;Ant. %;Stimmen;Ant. %;Stimmen;Ant. %;Datum;Zeit;Datum;Zeit
40619;Schönau im Mühlkreis          ;1.568; 	841 ; 	53,64 ; 	54 ; 	6,42 ; 	787 ; 	93,58 ; 	337 ; 	42,82 ; 	130 ; 	16,52 ; 	0 ; 	0 ; 	158 ; 	20,08 ; 	83 ; 	10,55 ; 	6 ; 	0,76 ; 	40 ; 	5,08 ; 	10 ; 	1,27 ; 	10 ; 	1,27 ; 	13 ; 	1,65 ; 	0 ; 	0 ;41784,6899759606;41784,6899759606;41784,6899759606;41784,6899759606
40620;Tragwein                      ;2.469; 	1.263 ; 	51,15 ; 	53 ; 	4,20 ; 	1.210 ; 	95,80 ; 	440 ; 	36,36 ; 	349 ; 	28,84 ; 	0 ; 	0 ; 	164 ; 	13,55 ; 	127 ; 	10,50 ; 	4 ; 	0,33 ; 	68 ; 	5,62 ; 	22 ; 	1,82 ; 	17 ; 	1,40 ; 	19 ; 	1,57 ; 	0 ; 	0 ;41784,662987581;41784,662987581;41784,662987581;41784,662987581
40621;Unterweißenbach               ;1.897; 	707 ; 	37,27 ; 	39 ; 	5,52 ; 	668 ; 	94,48 ; 	309 ; 	46,26 ; 	103 ; 	15,42 ; 	0 ; 	0 ; 	145 ; 	21,71 ; 	46 ; 	6,89 ; 	1 ; 	0,15 ; 	37 ; 	5,54 ; 	11 ; 	1,65 ; 	7 ; 	1,05 ; 	9 ; 	1,35 ; 	0 ; 	0 ;41784,5586300926;41784,5586300926;41784,5586300926;41784,5586300926
40622;Unterweitersdorf              ;1.650; 	856 ; 	51,88 ; 	42 ; 	4,91 ; 	814 ; 	95,09 ; 	205 ; 	25,18 ; 	259 ; 	31,82 ; 	0 ; 	0 ; 	138 ; 	16,95 ; 	120 ; 	14,74 ; 	5 ; 	0,61 ; 	52 ; 	6,39 ; 	12 ; 	1,47 ; 	6 ; 	0,74 ; 	17 ; 	2,09 ; 	0 ; 	0 ;41784,6921534375;41784,6921534375;41784,6921534375;41784,6921534375
40623;Waldburg                      ;1.087; 	522 ; 	48,02 ; 	17 ; 	3,26 ; 	505 ; 	96,74 ; 	206 ; 	40,79 ; 	94 ; 	18,61 ; 	0 ; 	0 ; 	70 ; 	13,86 ; 	71 ; 	14,06 ; 	1 ; 	0,20 ; 	36 ; 	7,13 ; 	17 ; 	3,37 ; 	4 ; 	0,79 ; 	6 ; 	1,19 ; 	0 ; 	0 ;41784,5750748032;41784,5750748032;41784,5750748032;41784,5750748032
40624;Wartberg ob der Aist          ;3.423; 	1.587 ; 	46,36 ; 	85 ; 	5,36 ; 	1.502 ; 	94,64 ; 	370 ; 	24,63 ; 	428 ; 	28,50 ; 	0 ; 	0 ; 	312 ; 	20,77 ; 	220 ; 	14,65 ; 	13 ; 	0,87 ; 	90 ; 	5,99 ; 	9 ; 	0,60 ; 	23 ; 	1,53 ; 	37 ; 	2,46 ; 	0 ; 	0 ;41784,6451113426;41784,6451113426;41784,6451113426;41784,6451113426
40625;Weitersfelden                 ;861; 	424 ; 	49,25 ; 	23 ; 	5,42 ; 	401 ; 	94,58 ; 	214 ; 	53,37 ; 	71 ; 	17,71 ; 	0 ; 	0 ; 	48 ; 	11,97 ; 	31 ; 	7,73 ; 	2 ; 	0,50 ; 	20 ; 	4,99 ; 	2 ; 	0,50 ; 	5 ; 	1,25 ; 	8 ; 	2,00 ; 	0 ; 	0 ;41784,5774870023;41784,5774870023;41784,5774870023;41784,5774870023
40626;Windhaag bei Freistadt        ;1.291; 	611 ; 	47,33 ; 	56 ; 	9,17 ; 	555 ; 	90,83 ; 	293 ; 	52,79 ; 	102 ; 	18,38 ; 	0 ; 	0 ; 	89 ; 	16,04 ; 	42 ; 	7,57 ; 	2 ; 	0,36 ; 	12 ; 	2,16 ; 	2 ; 	0,36 ; 	5 ; 	0,90 ; 	8 ; 	1,44 ; 	0 ; 	0 ;41784,5649279282;41784,5649279282;41784,5649279282;41784,5649279282
40627;Bad Zell                      ;2.277; 	1.237 ; 	54,33 ; 	76 ; 	6,14 ; 	1.161 ; 	93,86 ; 	472 ; 	40,65 ; 	161 ; 	13,87 ; 	0 ; 	0 ; 	206 ; 	17,74 ; 	189 ; 	16,28 ; 	9 ; 	0,78 ; 	47 ; 	4,05 ; 	26 ; 	2,24 ; 	26 ; 	2,24 ; 	25 ; 	2,15 ; 	0 ; 	0 ;41784,5992337963;41784,5992337963;41784,5992337963;41784,5992337963
40699;Wahlkarten Freistadt                     ;0; 	2.646 ; 	0 ; 	69 ; 	2,61 ; 	2.577 ; 	97,39 ; 	784 ; 	30,42 ; 	542 ; 	21,03 ; 	0 ; 	0 ; 	278 ; 	10,79 ; 	534 ; 	20,72 ; 	10 ; 	0,39 ; 	233 ; 	9,04 ; 	24 ; 	0,93 ; 	81 ; 	3,14 ; 	91 ; 	3,53 ; 	0 ; 	0 ;41785,4578530903;41785,4578530903;41785,4578530903;41785,4578530903
40700;Bezirk Gmunden                       ;79.290; 	37.382 ; 	47,15 ; 	1.490 ; 	3,99 ; 	35.892 ; 	96,01 ; 	8.576 ; 	23,89 ; 	10.055 ; 	28,01 ; 	0 ; 	0 ; 	6.856 ; 	19,10 ; 	4.966 ; 	13,84 ; 	176 ; 	0,49 ; 	2.974 ; 	8,29 ; 	467 ; 	1,30 ; 	664 ; 	1,85 ; 	1.158 ; 	3,23 ; 	0 ; 	0 ;41784,7081948727;41784,7081948727;41785,5655184028;41785,5655184028
40701;Altmünster                    ;7.814; 	3.228 ; 	41,31 ; 	154 ; 	4,77 ; 	3.074 ; 	95,23 ; 	828 ; 	26,94 ; 	699 ; 	22,74 ; 	0 ; 	0 ; 	607 ; 	19,75 ; 	489 ; 	15,91 ; 	10 ; 	0,33 ; 	283 ; 	9,21 ; 	40 ; 	1,30 ; 	38 ; 	1,24 ; 	80 ; 	2,60 ; 	0 ; 	0 ;41784,6709657755;41784,6709657755;41784,6709657755;41784,6709657755
40702;Bad Goisern                   ;6.107; 	2.307 ; 	37,78 ; 	138 ; 	5,98 ; 	2.169 ; 	94,02 ; 	289 ; 	13,32 ; 	857 ; 	39,51 ; 	0 ; 	0 ; 	421 ; 	19,41 ; 	252 ; 	11,62 ; 	17 ; 	0,78 ; 	134 ; 	6,18 ; 	60 ; 	2,77 ; 	44 ; 	2,03 ; 	95 ; 	4,38 ; 	0 ; 	0 ;41784,6537510069;41784,6537510069;41784,6537510069;41784,6537510069
40703;Bad Ischl                     ;10.849; 	4.260 ; 	39,27 ; 	152 ; 	3,57 ; 	4.108 ; 	96,43 ; 	933 ; 	22,71 ; 	1.124 ; 	27,36 ; 	0 ; 	0 ; 	813 ; 	19,79 ; 	633 ; 	15,41 ; 	13 ; 	0,32 ; 	326 ; 	7,94 ; 	37 ; 	0,90 ; 	81 ; 	1,97 ; 	148 ; 	3,60 ; 	0 ; 	0 ;41784,6466804051;41784,6466804051;41784,6466804051;41784,6466804051
40704;Ebensee                       ;6.403; 	2.610 ; 	40,76 ; 	102 ; 	3,91 ; 	2.508 ; 	96,09 ; 	453 ; 	18,06 ; 	962 ; 	38,36 ; 	0 ; 	0 ; 	470 ; 	18,74 ; 	319 ; 	12,72 ; 	14 ; 	0,56 ; 	116 ; 	4,63 ; 	24 ; 	0,96 ; 	56 ; 	2,23 ; 	94 ; 	3,75 ; 	0 ; 	0 ;41784,7081948264;41784,7081948264;41784,7081948264;41784,7081948264
40705;Gmunden                       ;10.372; 	4.188 ; 	40,38 ; 	124 ; 	2,96 ; 	4.064 ; 	97,04 ; 	1.097 ; 	26,99 ; 	847 ; 	20,84 ; 	0 ; 	0 ; 	760 ; 	18,70 ; 	688 ; 	16,93 ; 	23 ; 	0,57 ; 	423 ; 	10,41 ; 	64 ; 	1,57 ; 	69 ; 	1,70 ; 	93 ; 	2,29 ; 	0 ; 	0 ;41784,6791236111;41784,6791236111;41784,6791236111;41784,6791236111
40706;Gosau                         ;1.491; 	606 ; 	40,64 ; 	32 ; 	5,28 ; 	574 ; 	94,72 ; 	111 ; 	19,34 ; 	260 ; 	45,30 ; 	0 ; 	0 ; 	94 ; 	16,38 ; 	43 ; 	7,49 ; 	2 ; 	0,35 ; 	29 ; 	5,05 ; 	10 ; 	1,74 ; 	8 ; 	1,39 ; 	17 ; 	2,96 ; 	0 ; 	0 ;41784,5846006134;41784,5846006134;41784,5846006134;41784,5846006134
40707;Grünau im Almtal              ;1.617; 	718 ; 	44,40 ; 	28 ; 	3,90 ; 	690 ; 	96,10 ; 	194 ; 	28,12 ; 	204 ; 	29,57 ; 	0 ; 	0 ; 	159 ; 	23,04 ; 	62 ; 	8,99 ; 	0 ; 	0 ; 	33 ; 	4,78 ; 	13 ; 	1,88 ; 	9 ; 	1,30 ; 	16 ; 	2,32 ; 	0 ; 	0 ;41784,6752644329;41784,6752644329;41784,6752644329;41784,6752644329
40708;Gschwandt                     ;2.142; 	864 ; 	40,34 ; 	36 ; 	4,17 ; 	828 ; 	95,83 ; 	247 ; 	29,83 ; 	184 ; 	22,22 ; 	0 ; 	0 ; 	166 ; 	20,05 ; 	99 ; 	11,96 ; 	3 ; 	0,36 ; 	73 ; 	8,82 ; 	7 ; 	0,85 ; 	14 ; 	1,69 ; 	35 ; 	4,23 ; 	0 ; 	0 ;41784,6173478357;41784,6173478357;41784,6173478357;41784,6173478357
40709;Hallstatt                     ;652; 	344 ; 	52,76 ; 	18 ; 	5,23 ; 	326 ; 	94,77 ; 	44 ; 	13,50 ; 	124 ; 	38,04 ; 	0 ; 	0 ; 	42 ; 	12,88 ; 	64 ; 	19,63 ; 	1 ; 	0,31 ; 	27 ; 	8,28 ; 	0 ; 	0 ; 	9 ; 	2,76 ; 	15 ; 	4,60 ; 	0 ; 	0 ;41784,5864247685;41784,5864247685;41784,5864247685;41784,5864247685
40710;Kirchham                      ;1.610; 	675 ; 	41,93 ; 	36 ; 	5,33 ; 	639 ; 	94,67 ; 	310 ; 	48,51 ; 	84 ; 	13,15 ; 	0 ; 	0 ; 	113 ; 	17,68 ; 	49 ; 	7,67 ; 	0 ; 	0 ; 	46 ; 	7,20 ; 	9 ; 	1,41 ; 	10 ; 	1,56 ; 	18 ; 	2,82 ; 	0 ; 	0 ;41784,5719265046;41784,5719265046;41784,5871783218;41784,5871783218
40711;Laakirchen                    ;7.206; 	3.129 ; 	43,42 ; 	159 ; 	5,08 ; 	2.970 ; 	94,92 ; 	628 ; 	21,14 ; 	1.081 ; 	36,40 ; 	0 ; 	0 ; 	591 ; 	19,90 ; 	281 ; 	9,46 ; 	20 ; 	0,67 ; 	205 ; 	6,90 ; 	34 ; 	1,14 ; 	47 ; 	1,58 ; 	83 ; 	2,79 ; 	0 ; 	0 ;41784,6776758102;41784,6776758102;41784,6989948727;41784,6989948727
40712;Obertraun                     ;586; 	312 ; 	53,24 ; 	25 ; 	8,01 ; 	287 ; 	91,99 ; 	46 ; 	16,03 ; 	163 ; 	56,79 ; 	0 ; 	0 ; 	33 ; 	11,50 ; 	22 ; 	7,67 ; 	3 ; 	1,05 ; 	6 ; 	2,09 ; 	0 ; 	0 ; 	9 ; 	3,14 ; 	5 ; 	1,74 ; 	0 ; 	0 ;41784,6561209491;41784,6561209491;41784,6561209491;41784,6561209491
40713;Ohlsdorf                      ;4.053; 	1.679 ; 	41,43 ; 	81 ; 	4,82 ; 	1.598 ; 	95,18 ; 	408 ; 	25,53 ; 	399 ; 	24,97 ; 	0 ; 	0 ; 	337 ; 	21,09 ; 	214 ; 	13,39 ; 	6 ; 	0,38 ; 	119 ; 	7,45 ; 	28 ; 	1,75 ; 	30 ; 	1,88 ; 	57 ; 	3,57 ; 	0 ; 	0 ;41784,6632383912;41784,6632383912;41784,6632383912;41784,6632383912
40714;Pinsdorf                      ;2.946; 	1.277 ; 	43,35 ; 	44 ; 	3,45 ; 	1.233 ; 	96,55 ; 	215 ; 	17,44 ; 	378 ; 	30,66 ; 	0 ; 	0 ; 	324 ; 	26,28 ; 	160 ; 	12,98 ; 	7 ; 	0,57 ; 	92 ; 	7,46 ; 	13 ; 	1,05 ; 	12 ; 	0,97 ; 	32 ; 	2,60 ; 	0 ; 	0 ;41784,6638912037;41784,6638912037;41784,7718681366;41784,7718681366
40715;Roitham                       ;1.605; 	740 ; 	46,11 ; 	23 ; 	3,11 ; 	717 ; 	96,89 ; 	207 ; 	28,87 ; 	180 ; 	25,10 ; 	0 ; 	0 ; 	155 ; 	21,62 ; 	65 ; 	9,07 ; 	4 ; 	0,56 ; 	64 ; 	8,93 ; 	14 ; 	1,95 ; 	9 ; 	1,26 ; 	19 ; 	2,65 ; 	0 ; 	0 ;41784,6929497338;41784,6929497338;41784,6929497338;41784,6929497338
40716;St.Konrad                     ;862; 	364 ; 	42,23 ; 	13 ; 	3,57 ; 	351 ; 	96,43 ; 	138 ; 	39,32 ; 	94 ; 	26,78 ; 	0 ; 	0 ; 	52 ; 	14,81 ; 	32 ; 	9,12 ; 	2 ; 	0,57 ; 	17 ; 	4,84 ; 	9 ; 	2,56 ; 	2 ; 	0,57 ; 	5 ; 	1,42 ; 	0 ; 	0 ;41784,5543556366;41784,5543556366;41784,5543556366;41784,5543556366
40717;St.Wolfgang im Salzkammergut  ;2.139; 	723 ; 	33,80 ; 	30 ; 	4,15 ; 	693 ; 	95,85 ; 	260 ; 	37,52 ; 	135 ; 	19,48 ; 	0 ; 	0 ; 	120 ; 	17,32 ; 	77 ; 	11,11 ; 	5 ; 	0,72 ; 	44 ; 	6,35 ; 	10 ; 	1,44 ; 	19 ; 	2,74 ; 	23 ; 	3,32 ; 	0 ; 	0 ;41784,6755426736;41784,6755426736;41784,6755426736;41784,6755426736
40718;Traunkirchen                  ;1.355; 	609 ; 	44,94 ; 	18 ; 	2,96 ; 	591 ; 	97,04 ; 	160 ; 	27,07 ; 	144 ; 	24,37 ; 	0 ; 	0 ; 	76 ; 	12,86 ; 	96 ; 	16,24 ; 	3 ; 	0,51 ; 	74 ; 	12,52 ; 	7 ; 	1,18 ; 	15 ; 	2,54 ; 	16 ; 	2,71 ; 	0 ; 	0 ;41784,6677961458;41784,6677961458;41784,6677961458;41784,6677961458
40719;Scharnstein                   ;3.743; 	1.529 ; 	40,85 ; 	74 ; 	4,84 ; 	1.455 ; 	95,16 ; 	349 ; 	23,99 ; 	421 ; 	28,93 ; 	0 ; 	0 ; 	303 ; 	20,82 ; 	174 ; 	11,96 ; 	12 ; 	0,82 ; 	96 ; 	6,60 ; 	10 ; 	0,69 ; 	34 ; 	2,34 ; 	56 ; 	3,85 ; 	0 ; 	0 ;41784,6987101505;41784,6987101505;41784,6987101505;41784,6987101505
40720;Vorchdorf                     ;5.738; 	2.433 ; 	42,40 ; 	95 ; 	3,90 ; 	2.338 ; 	96,10 ; 	570 ; 	24,38 ; 	539 ; 	23,05 ; 	0 ; 	0 ; 	580 ; 	24,81 ; 	302 ; 	12,92 ; 	7 ; 	0,30 ; 	189 ; 	8,08 ; 	26 ; 	1,11 ; 	39 ; 	1,67 ; 	86 ; 	3,68 ; 	0 ; 	0 ;41784,6882354977;41784,6882354977;41784,6882354977;41784,6882354977
40799;Wahlkarten Gmunden                       ;0; 	4.787 ; 	0 ; 	108 ; 	2,26 ; 	4.679 ; 	97,74 ; 	1.089 ; 	23,27 ; 	1.176 ; 	25,13 ; 	0 ; 	0 ; 	640 ; 	13,68 ; 	845 ; 	18,06 ; 	24 ; 	0,51 ; 	578 ; 	12,35 ; 	52 ; 	1,11 ; 	110 ; 	2,35 ; 	165 ; 	3,53 ; 	0 ; 	0 ;41785,5655179745;41785,5655179745;41785,5655179745;41785,5655179745
40800;Bezirk Grieskirchen                  ;50.129; 	24.865 ; 	49,60 ; 	1.018 ; 	4,09 ; 	23.847 ; 	95,91 ; 	8.075 ; 	33,86 ; 	4.422 ; 	18,54 ; 	0 ; 	0 ; 	5.535 ; 	23,21 ; 	2.854 ; 	11,97 ; 	97 ; 	0,41 ; 	1.628 ; 	6,83 ; 	348 ; 	1,46 ; 	314 ; 	1,32 ; 	574 ; 	2,41 ; 	0 ; 	0 ;41784,7033047801;41784,7033047801;41785,5826256597;41785,5826256597
40801;Aistersheim                   ;661; 	294 ; 	44,48 ; 	14 ; 	4,76 ; 	280 ; 	95,24 ; 	104 ; 	37,14 ; 	45 ; 	16,07 ; 	0 ; 	0 ; 	74 ; 	26,43 ; 	19 ; 	6,79 ; 	1 ; 	0,36 ; 	24 ; 	8,57 ; 	1 ; 	0,36 ; 	3 ; 	1,07 ; 	9 ; 	3,21 ; 	0 ; 	0 ;41784,5485727662;41784,5485727662;41784,5495682523;41784,5495682523
40802;Bad Schallerbach              ;2.924; 	1.332 ; 	45,55 ; 	49 ; 	3,68 ; 	1.283 ; 	96,32 ; 	350 ; 	27,28 ; 	319 ; 	24,86 ; 	0 ; 	0 ; 	306 ; 	23,85 ; 	153 ; 	11,93 ; 	7 ; 	0,55 ; 	79 ; 	6,16 ; 	21 ; 	1,64 ; 	18 ; 	1,40 ; 	30 ; 	2,34 ; 	0 ; 	0 ;41784,6549179745;41784,6549179745;41784,6549179745;41784,6549179745
40803;Bruck-Waasen                  ;1.879; 	809 ; 	43,05 ; 	28 ; 	3,46 ; 	781 ; 	96,54 ; 	337 ; 	43,15 ; 	94 ; 	12,04 ; 	0 ; 	0 ; 	157 ; 	20,10 ; 	84 ; 	10,76 ; 	7 ; 	0,90 ; 	69 ; 	8,83 ; 	11 ; 	1,41 ; 	9 ; 	1,15 ; 	13 ; 	1,66 ; 	0 ; 	0 ;41784,6319111921;41784,6319111921;41784,6319111921;41784,6319111921
40804;Eschenau im Hausruckkreis     ;901; 	446 ; 	49,50 ; 	18 ; 	4,04 ; 	428 ; 	95,96 ; 	197 ; 	46,03 ; 	54 ; 	12,62 ; 	0 ; 	0 ; 	108 ; 	25,23 ; 	28 ; 	6,54 ; 	3 ; 	0,70 ; 	21 ; 	4,91 ; 	4 ; 	0,93 ; 	2 ; 	0,47 ; 	11 ; 	2,57 ; 	0 ; 	0 ;41784,5749204861;41784,5749204861;41784,5749204861;41784,5749204861
40805;Gallspach                     ;1.877; 	863 ; 	45,98 ; 	29 ; 	3,36 ; 	834 ; 	96,64 ; 	184 ; 	22,06 ; 	204 ; 	24,46 ; 	0 ; 	0 ; 	256 ; 	30,70 ; 	89 ; 	10,67 ; 	3 ; 	0,36 ; 	48 ; 	5,76 ; 	31 ; 	3,72 ; 	10 ; 	1,20 ; 	9 ; 	1,08 ; 	0 ; 	0 ;41784,7033047454;41784,7033047454;41784,7033047454;41784,7033047454
40806;Gaspoltshofen                 ;2.838; 	1.233 ; 	43,45 ; 	54 ; 	4,38 ; 	1.179 ; 	95,62 ; 	359 ; 	30,45 ; 	203 ; 	17,22 ; 	0 ; 	0 ; 	353 ; 	29,94 ; 	153 ; 	12,98 ; 	3 ; 	0,25 ; 	53 ; 	4,50 ; 	9 ; 	0,76 ; 	13 ; 	1,10 ; 	33 ; 	2,80 ; 	0 ; 	0 ;41784,5487912847;41784,5487912847;41784,5487912847;41784,5487912847
40807;Geboltskirchen                ;1.138; 	518 ; 	45,52 ; 	14 ; 	2,70 ; 	504 ; 	97,30 ; 	173 ; 	34,33 ; 	119 ; 	23,61 ; 	0 ; 	0 ; 	87 ; 	17,26 ; 	58 ; 	11,51 ; 	2 ; 	0,40 ; 	22 ; 	4,37 ; 	20 ; 	3,97 ; 	7 ; 	1,39 ; 	16 ; 	3,17 ; 	0 ; 	0 ;41784,5942759259;41784,5942759259;41784,5942759259;41784,5942759259
40808;Grieskirchen                  ;3.533; 	1.546 ; 	43,76 ; 	67 ; 	4,33 ; 	1.479 ; 	95,67 ; 	393 ; 	26,57 ; 	329 ; 	22,24 ; 	0 ; 	0 ; 	353 ; 	23,87 ; 	205 ; 	13,86 ; 	4 ; 	0,27 ; 	118 ; 	7,98 ; 	25 ; 	1,69 ; 	22 ; 	1,49 ; 	30 ; 	2,03 ; 	0 ; 	0 ;41784,6161574884;41784,6161574884;41784,6161574884;41784,6161574884
40809;Haag am Hausruck              ;1.667; 	715 ; 	42,89 ; 	32 ; 	4,48 ; 	683 ; 	95,52 ; 	220 ; 	32,21 ; 	129 ; 	18,89 ; 	0 ; 	0 ; 	156 ; 	22,84 ; 	94 ; 	13,76 ; 	1 ; 	0,15 ; 	44 ; 	6,44 ; 	15 ; 	2,20 ; 	9 ; 	1,32 ; 	15 ; 	2,20 ; 	0 ; 	0 ;41784,6017483449;41784,6017483449;41784,6017483449;41784,6017483449
40810;Heiligenberg                  ;533; 	299 ; 	56,10 ; 	19 ; 	6,35 ; 	280 ; 	93,65 ; 	150 ; 	53,57 ; 	23 ; 	8,21 ; 	0 ; 	0 ; 	56 ; 	20,00 ; 	24 ; 	8,57 ; 	1 ; 	0,36 ; 	16 ; 	5,71 ; 	5 ; 	1,79 ; 	3 ; 	1,07 ; 	2 ; 	0,71 ; 	0 ; 	0 ;41784,5185778125;41784,5185778125;41784,5185778125;41784,5185778125
40811;Hofkirchen an der Trattnach   ;1.225; 	550 ; 	44,90 ; 	19 ; 	3,45 ; 	531 ; 	96,55 ; 	171 ; 	32,20 ; 	88 ; 	16,57 ; 	0 ; 	0 ; 	135 ; 	25,42 ; 	51 ; 	9,60 ; 	2 ; 	0,38 ; 	47 ; 	8,85 ; 	9 ; 	1,69 ; 	6 ; 	1,13 ; 	22 ; 	4,14 ; 	0 ; 	0 ;41784,6345268171;41784,6345268171;41784,6345268171;41784,6345268171
40812;Kallham                       ;2.046; 	854 ; 	41,74 ; 	36 ; 	4,22 ; 	818 ; 	95,78 ; 	272 ; 	33,25 ; 	156 ; 	19,07 ; 	0 ; 	0 ; 	183 ; 	22,37 ; 	83 ; 	10,15 ; 	10 ; 	1,22 ; 	73 ; 	8,92 ; 	6 ; 	0,73 ; 	10 ; 	1,22 ; 	25 ; 	3,06 ; 	0 ; 	0 ;41784,5803473032;41784,5803473032;41784,5803473032;41784,5803473032
40813;Kematen am Innbach            ;1.034; 	382 ; 	36,94 ; 	8 ; 	2,09 ; 	374 ; 	97,91 ; 	117 ; 	31,28 ; 	69 ; 	18,45 ; 	0 ; 	0 ; 	113 ; 	30,21 ; 	34 ; 	9,09 ; 	2 ; 	0,53 ; 	11 ; 	2,94 ; 	3 ; 	0,80 ; 	7 ; 	1,87 ; 	18 ; 	4,81 ; 	0 ; 	0 ;41784,5947296643;41784,5947296643;41784,5947296643;41784,5947296643
40814;Meggenhofen                   ;1.094; 	563 ; 	51,46 ; 	24 ; 	4,26 ; 	539 ; 	95,74 ; 	239 ; 	44,34 ; 	77 ; 	14,29 ; 	0 ; 	0 ; 	94 ; 	17,44 ; 	75 ; 	13,91 ; 	3 ; 	0,56 ; 	29 ; 	5,38 ; 	5 ; 	0,93 ; 	5 ; 	0,93 ; 	12 ; 	2,23 ; 	0 ; 	0 ;41784,5490301273;41784,5490301273;41784,5490301273;41784,5490301273
40815;Michaelnbach                  ;1.034; 	453 ; 	43,81 ; 	20 ; 	4,42 ; 	433 ; 	95,58 ; 	200 ; 	46,19 ; 	64 ; 	14,78 ; 	0 ; 	0 ; 	88 ; 	20,32 ; 	30 ; 	6,93 ; 	2 ; 	0,46 ; 	21 ; 	4,85 ; 	8 ; 	1,85 ; 	8 ; 	1,85 ; 	12 ; 	2,77 ; 	0 ; 	0 ;41784,5700840625;41784,5700840625;41784,5700840625;41784,5700840625
40816;Natternbach                   ;1.939; 	853 ; 	43,99 ; 	55 ; 	6,45 ; 	798 ; 	93,55 ; 	259 ; 	32,46 ; 	187 ; 	23,43 ; 	0 ; 	0 ; 	189 ; 	23,68 ; 	79 ; 	9,90 ; 	5 ; 	0,63 ; 	45 ; 	5,64 ; 	9 ; 	1,13 ; 	11 ; 	1,38 ; 	14 ; 	1,75 ; 	0 ; 	0 ;41784,6105603356;41784,6105603356;41784,6105603356;41784,6105603356
40817;Neukirchen am Walde           ;1.358; 	744 ; 	54,79 ; 	30 ; 	4,03 ; 	714 ; 	95,97 ; 	312 ; 	43,70 ; 	90 ; 	12,61 ; 	0 ; 	0 ; 	185 ; 	25,91 ; 	56 ; 	7,84 ; 	2 ; 	0,28 ; 	27 ; 	3,78 ; 	11 ; 	1,54 ; 	10 ; 	1,40 ; 	21 ; 	2,94 ; 	0 ; 	0 ;41784,5915080671;41784,5915080671;41784,5915080671;41784,5915080671
40818;Neumarkt im Hausruckkreis     ;1.113; 	453 ; 	40,70 ; 	18 ; 	3,97 ; 	435 ; 	96,03 ; 	101 ; 	23,22 ; 	106 ; 	24,37 ; 	0 ; 	0 ; 	129 ; 	29,66 ; 	49 ; 	11,26 ; 	1 ; 	0,23 ; 	35 ; 	8,05 ; 	1 ; 	0,23 ; 	5 ; 	1,15 ; 	8 ; 	1,84 ; 	0 ; 	0 ;41784,6301267708;41784,6301267708;41784,6305064005;41784,6305064005
40819;Peuerbach                     ;1.793; 	709 ; 	39,54 ; 	25 ; 	3,53 ; 	684 ; 	96,47 ; 	251 ; 	36,70 ; 	110 ; 	16,08 ; 	0 ; 	0 ; 	143 ; 	20,91 ; 	100 ; 	14,62 ; 	2 ; 	0,29 ; 	48 ; 	7,02 ; 	13 ; 	1,90 ; 	6 ; 	0,88 ; 	11 ; 	1,61 ; 	0 ; 	0 ;41784,6201525116;41784,6201525116;41784,6222578356;41784,6222578356
40820;Pötting                       ;440; 	246 ; 	55,91 ; 	19 ; 	7,72 ; 	227 ; 	92,28 ; 	134 ; 	59,03 ; 	21 ; 	9,25 ; 	0 ; 	0 ; 	33 ; 	14,54 ; 	18 ; 	7,93 ; 	1 ; 	0,44 ; 	11 ; 	4,85 ; 	1 ; 	0,44 ; 	3 ; 	1,32 ; 	5 ; 	2,20 ; 	0 ; 	0 ;41784,5657121181;41784,5657121181;41784,5657121181;41784,5657121181
40821;Pollham                       ;775; 	331 ; 	42,71 ; 	19 ; 	5,74 ; 	312 ; 	94,26 ; 	111 ; 	35,58 ; 	30 ; 	9,62 ; 	0 ; 	0 ; 	45 ; 	14,42 ; 	73 ; 	23,40 ; 	4 ; 	1,28 ; 	17 ; 	5,45 ; 	13 ; 	4,17 ; 	4 ; 	1,28 ; 	15 ; 	4,81 ; 	0 ; 	0 ;41784,5491596412;41784,5491596412;41784,5491596412;41784,5491596412
40822;Pram                          ;1.473; 	592 ; 	40,19 ; 	15 ; 	2,53 ; 	577 ; 	97,47 ; 	196 ; 	33,97 ; 	91 ; 	15,77 ; 	0 ; 	0 ; 	166 ; 	28,77 ; 	74 ; 	12,82 ; 	3 ; 	0,52 ; 	33 ; 	5,72 ; 	3 ; 	0,52 ; 	2 ; 	0,35 ; 	9 ; 	1,56 ; 	0 ; 	0 ;41784,5492595255;41784,5492595255;41784,5702089931;41784,5702089931
